intensidad,ocupacion
11.78819,1.836806
8.727273,1.496503
8.674825,1.339161
7.706294,0.9965035
7.741259,1.29021
6.545455,0.9370629
5.982518,0.5454546
6.141818,0.6181818
5.632727,0.52
5.16,0.5672727
4.76,0.44
4.367273,0.5745454
4.130909,0.4327273
4.229091,0.2909091
3.752727,0.3309091
3.789091,0.44
3.352727,0.2509091
3.381818,0.2654545
2.723636,0.4109091
2.923636,0.3418182
2.665455,0.2290909
2.778182,0.5381818
2.672727,0.4254546
2.67033,0.5787546
2.836364,0.5418182
2.429091,0.8109091
1.963636,1.207273
2.283636,1.192727
2.585454,0.9818182
2.458182,0.5927272
2.065454,0.1781818
1.861818,0.1418182
1.978182,0.16
1.927273,0.2145455
1.723636,0.4290909
2.010909,0.6145455
1.745455,0.4218182
1.592727,0.4654545
1.6,0.64
1.469091,1.174545
1.494545,1.203636
1.407273,0.5236363
1.323636,0.07636364
1.483636,0.1090909
1.523636,0.24
1.829091,0.3163636
1.745455,0.09454545
1.618182,0.1054545
1.563636,0.08363637
1.476364,0.08
1.716364,0.1090909
1.709091,0.1418182
1.927273,0.08363637
1.706294,0.07342657
1.933566,0.09440559
1.828671,0.1748252
2.13986,0.1223776
2.391608,0.2027972
2.328671,0.1923077
2.36014,0.2307692
2.097902,0.2482518
2.318182,0.1958042
2.734266,0.2202797
3.024476,0.2132867
3.213287,0.1993007
3.548951,0.3146853
3.664336,0.4335664
4.611888,0.3566433
5.339161,0.5664335
5.681818,0.5909091
5.839161,0.6923077
5.688811,0.5244755
6.292683,0.7944251
6.673684,0.8245614
7.496479,0.9014084
8.426523,1.311828
9.849463,1.541219
9.971429,1.239286
11.86429,1.835714
14.09286,2.178571
16.36786,2.664286
18.30961,3.064057
19.23427,3.402098
19.25874,3.171329
19.41463,3.418118
19.83972,3.404181
22.3345,4.104529
25.61592,5.048443
28.14483,5.889655
30.25172,7.124138
34.27931,8.103448
35.37586,9.368965
37.31034,10.24483
40.77586,12.14828
39.55862,12.91379
41.96564,13.72852
42.08247,14.14433
41.64948,13.21993
40.62199,13.49485
39.78276,12.85862
39.75517,12.25172
38.06552,11.66207
37.19655,12.34138
36.35517,11.46552
37.03093,12.00687
37.60481,11.65979
37.54639,10.79725
36.05498,11.23024
34.92783,10.26804
33.70447,8.869416
32.72852,9.391752
33.82818,10.04467
33.85223,10.09966
31.28276,9.02069
30.86942,8.652921
29.93814,8.367698
29.45361,7.618556
29.64261,7.890034
30.5567,8.168385
29.02749,7.608247
27.43299,7.14433
27.47766,7.494845
26.51203,7.065292
27.57732,7.745705
28.1134,7.90378
27.10309,7.27835
27.03093,7.19244
27.37801,7.804124
28.23024,7.800687
28.54827,8.141379
28.95173,7.810345
28.07586,7.544827
27.98625,7.666667
28.21993,7.701031
28.76976,7.841924
28.10381,7.83391
29.69416,8.47079
29.31272,8.106529
29.30479,8.568493
29.61986,7.760274
29.52055,8.315068
30.52397,8.582191
29.59247,7.989726
29.86986,8.215754
30.04096,8.358362
29.17406,8.706485
30.87031,8.290102
30.20136,8.389078
30.75768,8.959044
31.23891,9.822526
29.48123,9.075086
31.06485,8.894198
31.36519,9.679181
31.30034,8.955631
31.35274,9.071918
31.75,9.582191
31.93515,10.50853
31.23208,10.93174
32.79181,10.12628
33.28328,10.52218
34.20478,10.88396
35.2901,11.50853
34.40273,10.79863
34.5256,10.9215
35.56997,11.2116
35.92833,12.46075
36.18089,11.54949
34.87372,12.23549
35.20137,12.36177
35.59044,12.30717
39.60068,14.16041
41.60481,14.74914
42.65517,15.50345
42.75172,16.84483
43,16.63103
41.15517,15.17241
42.35862,16.72414
42.42414,16.98621
39.95517,15.77586
41.60069,15.46528
39.01035,15.01379
39.1931,15.56897
39.66667,17.32646
39.62886,16.86254
39.68041,15.8866
39.20618,14.68041
37.61856,13.64605
35.06228,11.51557
33.60825,10.62199
31.57241,9.74138
30.35517,9.627586
29.51546,9.154639
28.05498,9.56701
26.69416,9.044674
26.82935,8.921502
27.2901,7.778157
27.52234,6.704467
27.2543,6.869416
26.74565,6.522648
27.67596,6.707317
26.62021,7.28223
27.66202,6.867596
28.94773,7.25784
27.50523,6.912892
27.83624,6.616725
27.5193,6.947369
27.84321,6.836237
28.84321,7.278746
30.54983,8.285223
28.8488,8.563574
28.87285,8.975945
29.68276,8.772414
28.9931,8.841379
30.22069,8.989655
30.57732,9.463918
29.83505,9.333333
29.5669,7.672535
30.22569,9.274305
29.11111,9.979167
29.58419,10.43299
32.01374,9.457045
31.30928,9.216495
29.85911,9.068728
31.66323,9.934708
32.73702,10.38408
31.67247,10.76655
33.43403,10.34375
32.02069,8.889655
31.62543,8.213058
32.43299,8.140894
31.76289,11.59107
32.09059,11.98606
33.31944,12.38889
33.27835,12.28179
31.25086,11.48797
32.69759,9.477663
34.04138,9.493103
33.06552,8.624138
33.74741,8.591696
32.83391,7.986159
31.45329,7.910035
31.70934,7.643599
31.52431,7.951389
32.23875,7.692041
31.90311,7.910035
30.03114,9.363322
29.27526,10.71777
28.23875,10.13495
29.82639,10.45139
29.78671,11.03846
28.41319,10.02431
29.31095,9.229682
27.63542,6.263889
26.74306,5.774305
26.3391,5.795848
26.53103,5.737931
25.68056,5.493055
23.74138,5.013793
24.92069,5.365517
22.70934,4.712803
22.65052,4.470588
22.16495,4.391753
20.06969,3.979094
20.57986,4.010417
19.25694,3.6875
18.00694,3.46875
18.4083,3.283737
19.22145,3.418685
18.32872,3.325259
17.06969,3.156794
16.0625,2.614583
15.36111,2.482639
15.41319,2.434028
15.25347,2.465278
14.71528,2.569444
13.44983,2.138408
13.17422,2.414634
13.01404,2.336842
13.35088,2.435088
13.36268,2.176056
12.67021,1.968085
12.60211,2.066901
11.89085,2.003521
11.97552,1.769231
11.84375,1.791667
11.99306,1.829861
12.46875,2.065972
12.01389,1.739583
