FECHA; TIPO DIA; DOCEAVO; NVEHICULOS; OCUPACION; MUESTRAS
2022-08-16 00:00:00.000;L;171;30,91873;8,056537;283
2022-08-15 00:00:00.000;F;243;24,46763;7,615108;278
2022-08-14 00:00:00.000;F;256;18,55;5,675;280
2022-08-13 00:00:00.000;S;153;20,95699;6,433692;279
2022-08-12 00:00:00.000;L;171;31,41549;7,542253;284
2022-08-11 00:00:00.000;L;171;32,18478;8,460145;276
2022-08-10 00:00:00.000;L;183;30,86879;7,390071;282
2022-08-09 00:00:00.000;L;183;32,59787;7,97153;281
2022-08-08 00:00:00.000;L;183;32,42349;9,455516;281
2022-08-07 00:00:00.000;F;256;18,29286;4,307143;280
2022-08-06 00:00:00.000;S;241;21,89789;7,387324;284
2022-08-05 00:00:00.000;L;172;32,65467;9,151079;278
2022-08-04 00:00:00.000;L;183;33,55;8,903571;280
2022-08-03 00:00:00.000;L;183;33,27273;8,258182;275
2022-08-02 00:00:00.000;L;183;33,24648;7,954226;284
2022-08-01 00:00:00.000;L;183;35,05338;8,690392;281
2022-07-31 00:00:00.000;F;260;19,59498;4,55914;279
2022-07-30 00:00:00.000;S;149;22,16187;6,665468;278
2022-07-29 00:00:00.000;L;172;36,75261;10,95122;287
2022-07-28 00:00:00.000;L;183;37,94224;9,624549;277
2022-07-27 00:00:00.000;L;171;36,0106;10,63251;283
2022-07-26 00:00:00.000;L;184;37,02135;9,715302;281
2022-07-25 00:00:00.000;L;171;37,78521;11,1831;284
2022-07-24 00:00:00.000;F;249;18,96727;3,810909;275
2022-07-23 00:00:00.000;S;148;21,08961;5,150537;279
2022-07-22 00:00:00.000;L;171;39,83688;10,8156;282
2022-07-21 00:00:00.000;L;183;37,02473;10,67138;283
2022-07-20 00:00:00.000;L;183;38,23132;10,01779;281
2022-07-19 00:00:00.000;L;171;37,40702;10,07719;285
2022-07-18 00:00:00.000;L;171;37,54704;10,63763;287
2022-07-17 00:00:00.000;F;257;20,78572;4,596428;280
2022-07-16 00:00:00.000;S;140;22,27817;5,894366;284
2022-07-15 00:00:00.000;L;171;40,72028;12,38112;286
2022-07-14 00:00:00.000;L;183;38,84775;11,25259;289
2022-07-13 00:00:00.000;L;171;38,65278;10,51042;288
2022-07-12 00:00:00.000;L;183;39,99291;10,64894;282
2022-07-11 00:00:00.000;L;172;39,12676;12,10563;284
2022-07-10 00:00:00.000;F;251;20,39858;4,779359;281
2022-07-09 00:00:00.000;S;148;22,57244;5,689046;283
2022-07-08 00:00:00.000;L;173;40,92632;12,17544;285
2022-07-07 00:00:00.000;L;171;39,85915;9,665493;284
2022-07-06 00:00:00.000;L;173;39,55903;9,704861;288
2022-07-05 00:00:00.000;L;173;40,42958;10,15845;284
2022-07-04 00:00:00.000;L;92;42,12963;8,888889;54
2022-07-03 00:00:00.000;F;251;22,05338;5,590747;281
2022-07-02 00:00:00.000;S;149;24,36525;5,666667;282
2022-07-01 00:00:00.000;L;171;42,24911;12,55516;281
2022-06-30 00:00:00.000;L;173;41,91873;12,9894;283
2022-06-29 00:00:00.000;L;171;41,00364;12,88727;275
2022-06-28 00:00:00.000;L;173;42,17986;12,16187;278
2022-06-27 00:00:00.000;L;173;41,78369;11,7695;282
2022-06-26 00:00:00.000;F;248;25,8741;6,841727;278
2022-06-25 00:00:00.000;S;149;26,28723;5,992908;282
2022-06-24 00:00:00.000;L;173;42,84211;18,0421;285
2022-06-23 00:00:00.000;L;173;42,35231;13,64057;281
2022-06-22 00:00:00.000;L;171;42,54513;14,34657;277
2022-06-21 00:00:00.000;L;173;43,17343;13,05904;271
2022-06-20 00:00:00.000;L;173;41,52555;12,75547;274
2022-06-19 00:00:00.000;F;236;24,30258;6,494465;271
2022-06-18 00:00:00.000;S;159;26,45555;6,025926;270
2022-06-17 00:00:00.000;L;173;41,42067;13,25092;271
2022-06-16 00:00:00.000;F;250;25,68345;7,053957;278
2022-06-15 00:00:00.000;L;95;42,2043;14,34767;279
2022-06-14 00:00:00.000;L;173;42,69611;13,12368;283
2022-06-13 00:00:00.000;L;173;43,4216;12,24042;287
2022-06-12 00:00:00.000;F;248;22,50699;5,821678;286
2022-06-11 00:00:00.000;S;146;27,47405;6,463668;289
2022-06-10 00:00:00.000;L;176;42,72664;18,16955;289
2022-06-09 00:00:00.000;L;173;41,29893;13,06406;281
2022-06-08 00:00:00.000;L;176;41,38112;10,55944;286
2022-06-07 00:00:00.000;L;94;41,65505;16,44251;287
2022-06-06 00:00:00.000;L;171;42,66316;10,9614;285
2022-06-05 00:00:00.000;F;239;23,08591;6,388316;291
2022-06-04 00:00:00.000;S;249;29,06529;9,19244;291
2022-06-03 00:00:00.000;L;171;42,89161;13,31119;286
2022-06-02 00:00:00.000;L;173;42,15173;14,16552;290
2022-06-01 00:00:00.000;L;171;41,05155;11,77663;291
2022-05-31 00:00:00.000;L;171;41,4433;11,28522;291
2022-05-30 00:00:00.000;L;95;41,93007;12,96154;286
2022-05-29 00:00:00.000;F;245;24,12153;5,673611;288
2022-05-28 00:00:00.000;S;171;28,92708;7,329861;288
2022-05-27 00:00:00.000;L;173;42,96797;15,74733;281
2022-05-26 00:00:00.000;L;172;41,86806;12,45833;288
2022-05-25 00:00:00.000;L;95;42,05396;13,34173;278
2022-05-24 00:00:00.000;L;107;41,51072;14,09643;280
2022-05-23 00:00:00.000;L;94;42,98889;11,67037;270
2022-05-22 00:00:00.000;F;243;25,76259;6,291367;278
2022-05-21 00:00:00.000;S;165;28,34182;6,501818;275
2022-05-20 00:00:00.000;L;171;44,95406;13,87986;283
2022-05-19 00:00:00.000;L;94;42,55957;12,59206;277
2022-05-18 00:00:00.000;L;171;41,91398;12,59498;279
2022-05-17 00:00:00.000;L;94;41,64389;13,93885;278
2022-05-16 00:00:00.000;L;96;41,77338;12,06475;278
2022-05-15 00:00:00.000;F;263;24,49077;5,03321;271
2022-05-14 00:00:00.000;S;166;29,71786;6,503572;280
2022-05-13 00:00:00.000;L;173;43,40073;13,88971;272
2022-05-12 00:00:00.000;L;94;41,87097;11,17563;279
2022-05-11 00:00:00.000;L;172;40,39857;11,60142;281
2022-05-10 00:00:00.000;L;94;41,92527;13,03559;281
2022-05-09 00:00:00.000;L;171;39,78125;11,89931;288
2022-05-08 00:00:00.000;F;246;21,71626;7,124568;289
2022-05-07 00:00:00.000;S;246;27,57692;8,814685;286
2022-05-06 00:00:00.000;L;172;37,67944;14,20906;287
2022-05-05 00:00:00.000;L;171;37,81185;13,81533;287
2022-05-04 00:00:00.000;F;170;27,75281;8,52809;267
2022-05-03 00:00:00.000;L;171;37,88561;16,09225;271
2022-05-02 00:00:00.000;F;168;28,49826;10,62718;287
2022-05-01 00:00:00.000;F;164;25,82986;9,618055;288
2022-04-30 00:00:00.000;S;166;34,09524;10,68367;294
2022-04-29 00:00:00.000;L;176;42,6782;18,37024;289
2022-04-28 00:00:00.000;L;95;42,51027;12,76027;292
2022-04-27 00:00:00.000;L;95;42,6386;13,61053;285
2022-04-26 00:00:00.000;L;94;42,57383;12,50336;298
2022-04-25 00:00:00.000;L;95;41,87584;12,90604;298
2022-04-24 00:00:00.000;F;244;27,68276;6,94138;290
2022-04-23 00:00:00.000;S;164;36,04211;11,39298;285
2022-04-22 00:00:00.000;L;95;42,81469;13,35315;286
2022-04-21 00:00:00.000;L;173;43,6958;14,6014;286
2022-04-20 00:00:00.000;L;171;42,21329;13,9021;286
2022-04-19 00:00:00.000;L;94;43,24306;12,94444;288
2022-04-18 00:00:00.000;L;171;42,61538;12,54895;286
2022-04-17 00:00:00.000;F;244;28,48951;8,706294;286
2022-04-16 00:00:00.000;S;164;24,95862;7,265517;290
2022-04-15 00:00:00.000;F;163;21,27778;5,576389;288
2022-04-14 00:00:00.000;F;164;26,29474;7,42807;285
2022-04-13 00:00:00.000;L;171;40,55762;13,87361;269
2022-04-12 00:00:00.000;L;172;40,51736;13,50694;288
