time,intensidad,ocupacion
00:01:00,13.08711,2.222996
00:06:00,11.73171,1.881533
00:11:00,11.54355,1.675958
00:16:00,11.66202,1.829268
00:21:00,11.33101,1.620209
00:26:00,11.21603,1.8223
00:31:00,11.16028,1.641115
00:36:00,10.84669,1.867596
00:41:00,10.85866,1.855124
00:46:00,9.571428,1.515679
00:51:00,9.61324,1.449477
00:56:00,9.404181,1.198606
01:01:00,8.84669,1.219512
01:06:00,8.554007,1.017422
01:11:00,8.38676,1.114983
01:16:00,7.36237,0.8675958
01:21:00,7.400697,1.108014
01:26:00,6.97561,1.289199
01:31:00,6.334495,0.8536586
01:36:00,6.299652,0.5958188
01:41:00,6.094077,0.6585366
01:46:00,6.334495,0.6759582
01:51:00,5.996516,0.6724738
01:56:00,5.836237,0.5818815
02:01:00,5.686411,0.7665505
02:06:00,5.439024,0.5609756
02:11:00,5.773519,0.5783972
02:16:00,5.020906,0.4599303
02:21:00,5.45993,0.5261324
02:26:00,5.28223,0.4878049
02:31:00,4.745645,0.5714286
02:36:00,4.337979,0.5017422
02:41:00,4.421603,0.3832753
02:46:00,4.104529,0.369338
02:51:00,4.094077,0.3623693
02:56:00,4.202091,0.3414634
03:01:00,3.763066,0.3275261
03:06:00,3.686411,0.2857143
03:11:00,3.804878,0.2682927
03:16:00,3.944251,0.4599303
03:21:00,3.526132,0.4216028
03:26:00,3.797909,0.4808362
03:31:00,3.74216,0.4041812
03:36:00,3.456446,0.4006969
03:41:00,3.491289,0.3031359
03:46:00,3.627178,0.2508711
03:51:00,3.581882,0.271777
03:56:00,3.205575,0.2125435
04:01:00,3.293286,0.2579505
04:06:00,2.930314,0.2508711
04:11:00,3.285714,0.2752613
04:16:00,3.369338,0.2195122
04:21:00,3.020906,0.1777004
04:26:00,3.080139,0.1811847
04:31:00,3.216028,0.2648084
04:36:00,3.163763,0.3379791
04:41:00,3.070671,0.4558304
04:46:00,3.088339,0.254417
04:51:00,2.936396,0.2226148
04:56:00,3.226148,0.1908127
05:01:00,3.088339,0.1660777
05:06:00,3.233216,0.2014134
05:11:00,3.024735,0.3215548
05:16:00,3.257951,0.3462898
05:21:00,3.59364,0.5689046
05:26:00,3.413428,0.3427562
05:31:00,3.636042,0.3109541
05:36:00,3.45583,0.3074205
05:41:00,3.445993,0.2090592
05:46:00,3.89547,0.3275261
05:51:00,4.090592,0.543554
05:56:00,3.811847,0.3135889
06:01:00,4.544484,0.4234875
06:06:00,4.103203,0.4163701
06:11:00,4.224199,0.4199288
06:16:00,4.679442,0.4703833
06:21:00,4.756098,0.5017422
06:26:00,4.698246,0.5333334
06:31:00,5.442105,0.8631579
06:36:00,6.105634,0.8415493
06:41:00,6.310954,0.8480566
06:46:00,6.74386,0.8947368
06:51:00,6.278169,0.8908451
06:56:00,6.893617,0.8014184
07:01:00,6.75089,0.86121
07:06:00,6.59507,0.8802817
07:11:00,6.93662,1.017606
07:16:00,7.183099,1.197183
07:21:00,7.918728,1.180212
07:26:00,8.357895,1.445614
