time,intensidad,ocupacion
00:01:00,2.121359,0.7524272
00:06:00,2.0,0.4223301
00:11:00,1.898058,0.4368932
00:16:00,1.786408,0.4320388
00:21:00,1.490291,0.5582525
00:26:00,1.286408,0.5339806
00:31:00,1.325243,0.4466019
00:36:00,1.116505,0.2184466
00:41:00,1.247573,0.2087379
00:46:00,0.9708738,0.2378641
00:51:00,1.145631,0.3252427
00:56:00,0.8834952,0.315534
01:01:00,0.907767,0.2961165
01:06:00,0.7378641,0.1359223
01:11:00,0.7184466,0.1941748
01:16:00,0.8980582,0.3495146
01:21:00,0.8009709,0.2621359
01:26:00,0.7475728,0.2961165
01:31:00,0.9757282,0.3543689
01:36:00,0.8203884,0.2135922
01:41:00,0.7572815,0.1553398
01:46:00,0.7038835,0.1504854
01:51:00,0.8446602,0.1699029
01:56:00,0.6699029,0.1456311
02:01:00,0.5582525,0.4126213
02:06:00,0.6699029,0.2572815
02:11:00,0.5776699,0.184466
02:16:00,0.5825243,0.1553398
02:21:00,0.5631068,0.1601942
02:26:00,0.5825243,0.1990291
02:31:00,0.5388349,0.2378641
02:36:00,0.585,0.375
02:41:00,0.5728155,0.3737864
02:46:00,0.8300971,0.3349515
02:51:00,0.8883495,0.4320388
02:56:00,0.7281553,0.2621359
03:01:00,0.7572815,0.4708738
03:06:00,0.6990291,0.3058252
03:11:00,0.7524272,0.4126213
03:16:00,0.7912621,0.3300971
03:21:00,0.6553398,0.3300971
03:26:00,0.8737864,0.3543689
03:31:00,0.8737864,0.3203883
03:36:00,0.6941748,0.3106796
03:41:00,0.9514563,0.3883495
03:46:00,1.082524,0.4902913
03:51:00,0.9466019,0.3737864
03:56:00,0.9029126,0.3203883
04:01:00,1.07767,0.407767
04:06:00,0.9563107,0.368932
04:11:00,0.9854369,0.3300971
04:16:00,1.223301,0.3932039
04:21:00,1.242718,0.3543689
04:26:00,1.106796,0.3737864
04:31:00,1.135922,0.3398058
04:36:00,1.485437,0.3737864
04:41:00,1.456311,0.3834952
04:46:00,1.718447,0.5048544
04:51:00,1.621359,0.5048544
04:56:00,1.640777,0.4660194
05:01:00,1.514563,0.5533981
05:06:00,1.742718,0.5533981
05:11:00,2.019418,0.5679612
05:16:00,2.024272,0.5
05:21:00,2.26699,0.3786408
05:26:00,2.524272,0.4951456
05:31:00,3.033981,0.4854369
05:36:00,3.742718,0.6553398
05:41:00,3.88835,0.7135922
05:46:00,4.631068,0.7427185
05:51:00,5.179612,1.092233
05:56:00,5.645631,0.9902912
06:01:00,5.492754,1.217391
06:06:00,6.193237,1.386473
06:11:00,6.985646,1.253589
06:16:00,7.870193,1.841346
06:21:00,8.725962,2.081731
06:26:00,9.382775,1.980861
06:31:00,10.92754,2.400966
06:36:00,11.87619,2.82381
06:41:00,14.48585,3.466981
06:46:00,15.21226,3.688679
06:51:00,16.90566,3.768868
06:56:00,16.53773,3.537736
07:01:00,16.05164,3.812207
07:06:00,16.37089,3.807512
07:11:00,17.3662,4.150235
07:16:00,20.1831,5.215962
07:21:00,21.66197,5.347418
07:26:00,24.7277,6.657277
07:31:00,26.92958,7.539906
07:36:00,27.72301,7.793427
07:41:00,31.1784,8.638497
07:46:00,32.91549,9.028169
07:51:00,31.78404,9.075117
07:56:00,31.16432,9.037559
08:01:00,28.78873,7.507042
08:06:00,27.6338,7.262911
08:11:00,26.37559,6.985916
08:16:00,26.06573,6.962441
08:21:00,27.93427,7.57277
08:26:00,27.92488,7.549296
08:31:00,27.04695,6.525822
08:36:00,27.49296,6.408451
08:41:00,27.37559,7.197183
08:46:00,28.78873,7.178404
08:51:00,29.96714,7.507042
08:56:00,28.32394,7.300469
09:01:00,27.21127,6.42723
09:06:00,25.0939,7.159625
09:11:00,25.85446,6.516432
09:16:00,25.44601,6.544601
09:21:00,25.33971,6.220096
09:26:00,25.91549,6.431925
09:31:00,25.71362,6.525822
09:36:00,26.47418,6.737089
09:41:00,26.3615,6.784038
09:46:00,26.81221,6.765258
09:51:00,25.81221,6.488263
09:56:00,24.87324,6.178404
10:01:00,25.15023,7.305164
10:06:00,23.2723,6.943662
10:11:00,24.76526,7.225352
10:16:00,25.13615,7.43662
10:21:00,24.38498,7.671361
10:26:00,24.84507,7.657277
10:31:00,24.73709,7.71831
10:36:00,24.37089,7.755868
10:41:00,25.77251,6.85782
10:46:00,27.109,7.473934
10:51:00,26.74882,7.208531
10:56:00,25.32228,6.582938
11:01:00,26.89372,6.898551
11:06:00,25.31884,6.333333
11:11:00,26.41546,6.439613
11:16:00,26.96135,6.647343
11:21:00,27.99052,7.706161
11:26:00,27.37441,7.208531
11:31:00,28.90047,7.464455
11:36:00,28.90047,7.834123
11:41:00,28.63981,7.554502
11:46:00,28.71564,7.649289
11:51:00,28.0,8.028436
11:56:00,28.1564,7.545024
12:01:00,30.0628,7.855072
12:06:00,30.00483,7.811594
12:11:00,28.4058,7.990338
12:16:00,30.39614,8.57488
12:21:00,30.20773,8.043478
12:26:00,28.72464,7.714976
12:31:00,31.30435,7.855072
12:36:00,31.48792,8.405797
12:41:00,30.50241,8.57488
12:46:00,30.57488,8.173913
12:51:00,30.84058,8.280193
12:56:00,30.08212,7.898551
13:01:00,30.56039,8.067633
13:06:00,31.50711,8.151659
13:11:00,30.5545,8.298578
13:16:00,32.05687,8.620853
13:21:00,32.62085,9.327014
13:26:00,32.04831,8.913043
13:31:00,32.16908,8.661836
13:36:00,34.78744,9.188406
13:41:00,34.5942,9.830918
13:46:00,33.72986,9.388625
13:51:00,34.32701,9.725119
13:56:00,33.53555,8.644549
14:01:00,32.91943,8.265403
14:06:00,38.02415,9.647343
14:11:00,40.34123,10.00948
14:16:00,39.41706,10.04739
14:21:00,39.30332,10.04739
14:26:00,37.50711,9.49763
14:31:00,35.90047,9.526067
14:36:00,35.69811,8.679245
14:41:00,35.79245,9.014151
14:46:00,33.76887,8.575472
14:51:00,31.40845,7.71831
14:56:00,31.2723,7.84507
15:01:00,30.50235,7.619718
15:06:00,32.80751,8.248826
15:11:00,35.84977,8.948357
15:16:00,33.87082,8.263158
15:21:00,32.04306,7.617225
15:26:00,28.64593,6.502392
15:31:00,26.89474,6.244019
15:36:00,27.11005,6.334928
15:41:00,27.03828,6.655502
15:46:00,28.60287,6.784689
15:51:00,26.84689,6.138756
15:56:00,25.94836,6.633803
16:01:00,26.03286,6.57277
16:06:00,25.19718,6.178404
16:11:00,26.60094,6.535211
16:16:00,26.84507,6.967136
