time,intensidad,ocupacion
00:01:00,10.05776,2.66065
00:06:00,9.815498,1.509225
00:11:00,9.496268,1.384328
00:16:00,10.10332,1.560886
00:21:00,9.936567,1.41791
00:26:00,9.605166,1.446494
00:31:00,9.04428,1.280443
00:36:00,7.900369,1.00738
00:41:00,7.723247,1.081181
00:46:00,7.461255,0.9741697
00:51:00,7.066421,0.8634686
00:56:00,6.453875,0.7490775
01:01:00,6.114391,0.7269373
01:06:00,6.542436,0.7675277
01:11:00,5.896679,0.7675277
01:16:00,5.350554,0.5571955
01:21:00,4.723247,0.4575646
01:26:00,4.800738,0.4833948
01:31:00,4.461255,0.4464945
01:36:00,4.073801,0.3616236
01:41:00,3.472325,0.3284133
01:46:00,3.081181,0.2435424
01:51:00,2.937269,0.2656827
01:56:00,2.763838,0.3247232
02:01:00,2.608856,0.1660517
02:06:00,2.616236,0.2546125
02:11:00,2.859779,0.199262
02:16:00,2.612546,0.2177122
02:21:00,2.276119,0.1231343
02:26:00,2.221402,1.225092
02:31:00,1.863469,1.464945
02:36:00,1.908397,1.343511
02:41:00,1.958955,1.511194
02:46:00,1.642066,1.634686
02:51:00,1.527675,1.583026
02:56:00,1.642066,1.317343
03:01:00,1.287823,1.439114
03:06:00,1.339483,1.180812
03:11:00,1.221402,1.512915
03:16:00,1.154981,1.306273
03:21:00,1.077491,1.062731
03:26:00,1.0,1.225092
03:31:00,1.00738,1.428044
03:36:00,1.136531,0.7343174
03:41:00,1.287823,0.8191882
03:46:00,1.291513,0.7527675
03:51:00,1.129151,1.154981
03:56:00,1.00369,1.505535
04:01:00,0.8929889,1.553506
04:06:00,1.00369,0.693727
04:11:00,1.01107,0.4428044
04:16:00,1.121771,0.4280443
04:21:00,1.321033,0.4575646
04:26:00,1.221402,0.08856089
04:31:00,1.357934,0.08118081
04:36:00,1.184502,0.1586716
04:41:00,1.505535,0.3357933
04:46:00,1.549816,0.1107011
04:51:00,1.642066,0.1254613
04:56:00,1.767528,0.1254613
05:01:00,1.719557,0.1107011
05:06:00,1.96679,0.1808118
05:11:00,1.900369,0.1180812
05:16:00,2.225092,0.1845018
05:21:00,2.247232,0.195572
05:26:00,2.752768,0.3247232
05:31:00,3.177122,0.4243543
05:36:00,3.487085,0.5129151
05:41:00,4.095941,0.4243543
05:46:00,5.01476,0.6457565
05:51:00,4.963099,0.6678967
05:56:00,5.501845,0.704797
06:01:00,5.65704,0.700361
06:06:00,5.985559,0.7942238
06:11:00,7.00722,1.01083
06:16:00,8.191336,1.144404
06:21:00,9.65343,1.433213
06:26:00,10.38628,1.851986
06:31:00,12.43542,2.154982
06:36:00,14.53846,2.56044
06:41:00,16.88321,3.306569
06:46:00,19.01091,3.836364
06:51:00,19.67509,3.740072
06:56:00,19.49459,3.945848
07:01:00,18.59206,3.743682
07:06:00,17.44765,3.285198
07:11:00,18.56318,3.906137
07:16:00,21.31769,4.509025
07:21:00,23.59206,5.140794
07:26:00,25.52708,5.790614
07:31:00,26.44043,6.039711
07:36:00,30.213,6.877256
07:41:00,30.44765,7.364621
