time,intensidad,ocupacion
00:01:00,6.774319,0.7159533
00:06:00,5.464029,0.5359712
00:11:00,5.672662,0.6294964
00:16:00,5.844203,0.6050724
00:21:00,5.841727,0.7805755
00:26:00,5.690648,0.6115108
00:31:00,5.147482,0.4748201
00:36:00,5.164875,0.5125448
00:41:00,5.150537,0.4982079
00:46:00,4.537634,0.4014337
00:51:00,4.74552,0.5698925
00:56:00,4.311828,0.297491
01:01:00,4.039711,0.2779783
01:06:00,4.003584,0.3655914
01:11:00,3.663082,0.2544803
01:16:00,3.376344,0.5483871
01:21:00,3.444444,0.265233
01:26:00,3.458781,0.2401434
01:31:00,3.146953,0.1899642
01:36:00,2.956989,0.1827957
01:41:00,2.892473,0.1756272
01:46:00,2.505415,0.1732852
01:51:00,2.519713,0.1756272
01:56:00,2.39785,0.09318996
02:01:00,2.49104,0.1111111
02:06:00,2.501792,0.1612903
02:11:00,2.387097,0.1075269
02:16:00,2.336918,0.1039427
02:21:00,2.16129,0.1792115
02:26:00,1.946237,0.05734767
02:31:00,2.01805,0.07581227
02:36:00,1.734767,0.2293907
02:41:00,1.698925,0.06451613
02:46:00,1.956989,0.05017921
02:51:00,1.810036,0.06810036
02:56:00,1.953405,0.08243728
03:01:00,1.763441,0.03942652
03:06:00,1.487455,0.04301075
03:11:00,1.691756,0.1469534
03:16:00,1.670251,0.0609319
03:21:00,1.663082,0.07168459
03:26:00,1.738351,0.1111111
03:31:00,1.784946,0.1971326
03:36:00,1.476702,0.02150538
03:41:00,1.74552,0.05376344
03:46:00,1.530909,0.05090909
03:51:00,1.338182,0.03636364
03:56:00,1.461818,0.04
04:01:00,1.327273,0.04
04:06:00,1.556364,0.1345455
04:11:00,1.465455,0.04
04:16:00,1.494545,0.04363636
04:21:00,1.312727,0.1163636
04:26:00,1.367273,0.03636364
04:31:00,1.571429,0.04029304
04:36:00,1.569893,0.05376344
04:41:00,1.620072,0.04659498
04:46:00,1.548387,0.07168459
04:51:00,1.655914,0.0609319
04:56:00,1.666667,0.03942652
05:01:00,1.548387,0.05017921
05:06:00,1.734767,0.06810036
05:11:00,1.698925,0.07885305
05:16:00,1.996416,0.08960573
05:21:00,2.143369,0.08602151
05:26:00,2.060932,0.1971326
05:31:00,2.039427,0.1505376
05:36:00,2.017921,0.1111111
05:41:00,2.017921,0.08960573
05:46:00,2.455197,0.1218638
05:51:00,2.333333,0.1684588
05:56:00,2.458781,0.1111111
06:01:00,2.730216,0.1223022
06:06:00,2.722022,0.2057762
06:11:00,2.569892,0.1541219
06:16:00,2.768683,0.2669039
06:21:00,3.240143,0.3154122
06:26:00,2.992857,0.4178571
06:31:00,3.512545,0.311828
06:36:00,3.651079,0.4208633
06:41:00,4.039426,0.3548387
06:46:00,4.306859,0.4404332
06:51:00,4.111511,0.4784173
06:56:00,4.288809,0.3646209
07:01:00,3.823105,0.3646209
07:06:00,4.154676,0.323741
07:11:00,4.344086,0.3835126
07:16:00,4.326165,0.4265233
07:21:00,5.114696,0.6738351
07:26:00,5.336917,0.5555556
07:31:00,5.844765,0.6281589
07:36:00,5.946043,0.6330935
07:41:00,6.377698,0.7517986
07:46:00,6.582734,0.8381295
07:51:00,6.147482,1.046763
07:56:00,6.129497,0.9820144
08:01:00,5.71223,0.6906475
08:06:00,5.544803,0.688172
08:11:00,6.107913,0.7446043
08:16:00,6.050179,0.874552
08:21:00,6.092857,0.8107143
08:26:00,6.510714,0.8714285
08:31:00,6.557143,1.185714
08:36:00,7.014286,1.182143
08:41:00,7.125448,1.193548
08:46:00,6.899642,2.021505
08:51:00,7.351254,2.207885
08:56:00,6.714286,1.971429
09:01:00,7.875,2.946429
09:06:00,7.639286,4.857143
09:11:00,7.684588,4.419355
09:16:00,8.42029,6.681159
09:21:00,8.541516,4.451263
09:26:00,8.736462,3.422383
09:31:00,8.98917,2.880867
09:36:00,10.28315,2.530466
09:41:00,10.6548,2.024911
09:46:00,11.39146,1.914591
