time,intensidad,ocupacion
00:01:00,14.46975,2.637011
00:06:00,11.67021,2.06383
00:11:00,11.90425,1.851064
00:16:00,12.07801,1.91844
00:21:00,11.75357,2.067857
00:26:00,11.67021,1.87234
00:31:00,11.87589,1.968085
00:36:00,11.68085,2.070922
00:41:00,11.57447,2.01773
00:46:00,10.87234,1.656028
00:51:00,11.61993,1.712177
00:56:00,10.34752,1.556738
01:01:00,9.397163,1.404255
01:06:00,9.5,1.723404
01:11:00,9.99262,1.479705
01:16:00,8.606383,1.12766
01:21:00,8.315603,1.010638
01:26:00,7.971631,0.9574468
01:31:00,7.744681,0.9858156
01:36:00,7.960993,1.053192
01:41:00,7.0,0.8085107
01:46:00,6.723404,0.7765958
01:51:00,6.835714,1.028571
01:56:00,6.819188,0.9261993
02:01:00,6.404255,0.7588652
02:06:00,6.340425,0.9078014
02:11:00,5.763838,0.7675277
02:16:00,5.698582,0.6985816
02:21:00,5.776596,0.9680851
02:26:00,5.507092,0.7021276
02:31:00,5.060284,0.6347518
02:36:00,4.741135,0.4113475
02:41:00,4.712766,0.8368794
02:46:00,4.347518,0.535461
02:51:00,4.539007,0.7872341
02:56:00,4.72695,0.4858156
03:01:00,4.336879,0.4148936
03:06:00,4.269504,0.4893617
03:11:00,4.078014,0.3297872
03:16:00,4.028369,0.5106383
03:21:00,4.514184,0.5106383
03:26:00,4.329787,0.4787234
03:31:00,3.964539,0.4716312
03:36:00,3.666667,0.429078
03:41:00,3.684397,0.4503546
03:46:00,3.861702,0.358156
03:51:00,3.98893,0.3099631
03:56:00,3.865248,0.4078014
04:01:00,3.319149,0.2411347
04:06:00,3.308511,0.2553191
04:11:00,3.804965,0.3652482
04:16:00,3.960993,0.4929078
04:21:00,3.783688,0.4716312
04:26:00,4.191489,0.5567376
04:31:00,3.730496,0.2659574
04:36:00,3.741697,0.3247232
04:41:00,3.847518,0.4148936
04:46:00,3.659575,0.429078
04:51:00,3.503546,0.3546099
04:56:00,3.553191,0.2517731
05:01:00,3.230496,0.2765957
05:06:00,3.435424,0.3062731
05:11:00,3.56383,0.322695
05:16:00,3.705674,0.3368794
05:21:00,3.596429,0.3535714
05:26:00,4.095745,0.4219858
05:31:00,4.021276,0.5602837
05:36:00,4.230496,0.535461
05:41:00,4.315603,0.4751773
05:46:00,4.358156,0.4042553
05:51:00,4.407802,0.5638298
05:56:00,4.695035,0.5425532
06:01:00,4.425532,0.5496454
06:06:00,4.159259,0.5666667
06:11:00,4.451957,0.6334519
06:16:00,4.65371,0.6325088
06:21:00,4.996467,0.5300353
06:26:00,5.223404,0.8617021
06:31:00,5.355872,0.7010676
06:36:00,6.035971,1.118705
06:41:00,6.537634,0.8781362
06:46:00,6.444445,0.9283154
06:51:00,6.888087,1.296029
06:56:00,6.732852,0.8700361
07:01:00,6.381295,0.8165467
07:06:00,6.292135,0.8689138
07:11:00,6.609319,1.014337
07:16:00,6.964158,1.11828
07:21:00,7.156716,1.205224
07:26:00,7.732143,1.071429
07:31:00,8.096086,1.352313
07:36:00,8.0,1.503546
07:41:00,8.0,1.450355
07:46:00,8.432624,1.382979
07:51:00,8.796296,1.488889
07:56:00,8.971429,1.867857
08:01:00,8.512456,3.0
08:06:00,7.908127,2.54417
08:11:00,8.080986,3.397887
08:16:00,8.360424,4.007067
08:21:00,8.830389,3.742049
08:26:00,8.943463,5.530035
08:31:00,8.982332,6.826855
08:36:00,9.569893,5.989247
08:41:00,11.03249,5.953069
08:46:00,10.8917,4.079422
08:51:00,11.82734,4.431654
08:56:00,11.97143,3.560714
09:01:00,11.65233,3.62724
09:06:00,11.86833,4.672598
09:11:00,11.75352,4.109155
09:16:00,12.38028,4.15493
09:21:00,14.01064,5.446808
09:26:00,13.44912,4.821053
09:31:00,13.71678,4.63986
09:36:00,14.23675,3.254417
09:41:00,15.20495,3.713781
09:46:00,14.89007,3.308511
09:51:00,16.25887,4.031915
09:56:00,16.69149,3.776596
10:01:00,16.43772,4.24911
10:06:00,16.57651,3.733096
10:11:00,16.73333,3.996296
10:16:00,16.10638,3.684397
10:21:00,16.80576,3.618705
10:26:00,16.85971,3.676259
10:31:00,17.2446,3.604316
10:36:00,17.70609,4.688172
10:41:00,18.03226,4.315412
10:46:00,18.76344,4.455197
10:51:00,19.30935,4.625899
10:56:00,19.37589,4.351064
11:01:00,19.55674,4.492908
11:06:00,19.7305,4.570922
11:11:00,20.1844,4.968085
11:16:00,20.0,5.638298
11:21:00,20.54255,5.968085
11:26:00,21.81206,6.638298
11:31:00,22.82979,6.670213
11:36:00,22.66667,5.875886
11:41:00,22.74909,7.345455
11:46:00,23.82117,7.430657
11:51:00,23.70833,7.888889
11:56:00,24.32734,7.035971
12:01:00,23.6436,7.17301
12:06:00,23.36842,6.442105
12:11:00,23.14286,5.630662
12:16:00,23.84266,5.611888
12:21:00,24.11539,5.409091
12:26:00,24.46342,6.118467
12:31:00,23.74825,5.597902
12:36:00,24.56643,5.898602
12:41:00,23.82867,7.447553
12:46:00,24.16434,7.36014
12:51:00,24.65035,6.783217
12:56:00,24.27273,7.048951
13:01:00,23.58042,6.923077
13:06:00,23.94056,7.136364
13:11:00,24.6958,6.828671
13:16:00,24.38246,6.8
13:21:00,25.2305,5.957447
13:26:00,25.52128,5.829787
13:31:00,24.40071,5.425532
13:36:00,25.5053,5.84099
13:41:00,25.67606,6.0
13:46:00,24.95053,6.431096
13:51:00,24.64539,6.737589
13:56:00,24.65371,6.798586
14:01:00,23.67958,5.933099
14:06:00,23.16491,5.140351
14:11:00,23.32117,5.335766
14:16:00,23.62807,6.031579
14:21:00,23.26855,6.773851
14:26:00,23.13986,6.108392
14:31:00,22.52448,6.160839
14:36:00,20.87018,5.105263
14:41:00,20.94161,4.649635
14:46:00,20.55594,5.248252
14:51:00,18.94406,5.20979
14:56:00,17.83624,5.04878
15:01:00,17.00697,4.351916
15:06:00,16.24042,4.390244
15:11:00,16.4982,3.953068
15:16:00,16.96516,3.616725
15:21:00,15.72028,4.370629
15:26:00,14.81533,4.12892
15:31:00,14.75958,3.275261
15:36:00,14.39576,3.565371
15:41:00,13.84912,3.2
15:46:00,14.30877,3.147368
15:51:00,14.22997,3.006969
15:56:00,13.6993,3.353147
16:01:00,12.77193,3.950877
16:06:00,13.59298,4.712281
16:11:00,14.09825,4.652632
16:16:00,14.12982,4.003509
16:21:00,14.22059,3.584559
16:26:00,13.63121,3.163121
16:31:00,13.43929,2.842857
16:36:00,13.34629,3.964664
16:41:00,13.37676,4.070423
16:46:00,13.54225,5.024648
16:51:00,14.22615,3.992933
16:56:00,13.90175,4.024561
17:01:00,14.2,3.185965
17:06:00,14.2,3.835088
17:11:00,14.96842,4.680702
17:16:00,15.28975,5.293286
17:21:00,15.07774,5.992933
17:26:00,15.08834,5.865725
17:31:00,14.61131,5.477032
17:36:00,15.44118,5.705883
17:41:00,14.83929,4.914286
17:46:00,15.0,4.803571
17:51:00,15.225,4.275
17:56:00,15.33333,3.975177
18:01:00,15.62456,3.270175
18:06:00,15.06272,3.696864
18:11:00,16.30662,3.84669
18:16:00,16.05923,4.355401
18:21:00,16.91958,4.86014
18:26:00,19.27083,5.777778
18:31:00,19.2029,5.927536
18:36:00,20.71181,6.232639
18:41:00,21.24739,6.299652
18:46:00,20.37413,6.262238
18:51:00,22.03521,5.573944
