intensidad,ocupacion
2.140496,0.3264463
2.290984,0.3442623
2.493878,0.4653061
2.579592,0.4408163
2.838843,0.6528926
3.028455,0.3699187
3.403226,0.4677419
3.812,0.692
4.54,0.764
5.636,0.832
6.688,1.188
6.632,1.18
7.741935,1.443548
7.995968,1.649194
8.032258,1.556452
8.262096,1.423387
8.217742,1.33871
8.875,1.419355
9.028226,1.604839
9.737904,1.721774
10.24597,1.709677
10.60081,1.806452
10.62903,2.137097
11.00403,1.923387
11.31452,2.181452
12.06746,2.400794
12.27381,2.297619
12.66136,2.613546
13.38889,2.690476
14.11905,2.988095
14.56349,2.884921
15.59524,3.325397
16.47222,3.694444
16.93651,3.734127
17.46825,4
17.81349,4.047619
17.85714,4.087302
18.68651,4.519841
19.23904,4.087649
19.78088,4.015936
19.28685,3.924303
20.35458,4.083665
21.58964,4.38247
22.19522,4.689243
22.2749,4.860558
21.44621,4.685259
20.05976,4.286852
20.11155,4.151394
18.77291,3.956175
17.38247,4.047809
17.13147,3.517928
17.70916,3.836653
17.53785,3.705179
17.08765,3.697211
17.29482,3.7251
16.23904,3.414343
16.14741,3.430279
16.37698,4.071429
16.72222,3.773809
16.65079,3.670635
16.38492,3.853175
15.90873,3.646825
16.01191,3.873016
15.4246,3.611111
15.57936,3.575397
15.50794,3.698413
16.56574,3.717131
16.60558,3.394422
16.35857,3.61753
15.64143,3.486056
15.13147,3.557769
15.21912,3.171315
15.19123,3.171315
15.25498,3.087649
15.66534,2.976096
14.77689,2.98008
15.29482,3.282869
15.19522,3.051793
14.51793,3.01992
14.77291,3.123506
14.10359,2.749004
13.81673,2.800797
13.67729,2.956175
13.67331,2.756972
13.48207,2.593626
13.11952,2.466136
12.86454,2.525896
12.02789,2.14741
12.21514,2.386454
12.04781,2.219124
11.98008,2.215139
11.73705,2.231076
11.48207,2.067729
10.96016,2.071713
11.29084,2.083665
11.15538,1.98008
10.29482,1.76494
10.79283,1.868526
10.80877,1.952191
10.2749,1.760956
10.16733,1.820717
10.48606,2.211155
11.25896,2.446215
11.57258,2.258065
11.99203,2.772908
12.55777,2.219124
12.98805,2.633466
14.29084,2.581673
14.15139,2.581673
14.66932,2.860558
15.9004,3.043825
16.81673,3.418327
17.43426,3.482072
19.15538,3.940239
19.18327,3.908366
19.26693,3.904382
20.56972,3.988048
20.73307,4.314741
19.83665,4.533864
21.13546,4.565737
