intensidad,ocupacion
20.03986,3.663043
8.650558,1.312268
8.687733,1.379182
8.944238,1.613383
9.066915,1.840149
7.832714,1.576208
6.933085,1.037175
6.67658,1.055762
6.713755,1.063197
5.58736,0.7843866
5.066915,0.6505576
4.851301,0.6431227
4.289963,0.464684
4.405204,0.6133829
3.516729,0.6319703
3.360595,0.4200743
3,0.3717472
3.301115,0.3903346
2.795539,0.2453532
2.464684,0.204461
2.501859,0.2527881
2.189591,0.2416357
1.973978,0.1747212
2.096654,0.1486989
2.342007,0.1710037
2.141264,0.1301115
2.312268,0.2304833
2.464684,0.2453532
2.159851,0.1933085
2.35316,0.2713755
1.791822,0.1189591
1.628253,0.1301115
1.609665,0.1486989
1.6171,0.1524164
1.546468,0.1040892
1.457249,0.07806692
1.245353,0.08178439
1.144981,0.08178439
1.115242,0.08550186
1.144981,0.1003717
1.156134,0.07434944
1.018587,0.07063197
1.018587,0.04832714
1.133829,0.1561338
1.449814,0.1486989
1.256506,0.1040892
1.133829,0.1078067
1.141264,0.04832714
1.074349,0.07434944
1.126394,0.1040892
1.275093,0.1003717
1.230483,0.1115242
1.237918,0.1449814
1.219331,0.1040892
1.342007,0.09665427
1.468401,0.1375465
1.349442,0.1672862
1.565056,0.1375465
1.732342,0.3234201
1.802974,0.2379182
1.72119,0.1598513
1.98513,0.2565056
2.040892,0.2118959
2.174721,0.2788104
2.769517,0.3085502
2.933085,0.3866171
3.70632,0.5799257
3.843866,0.591078
4.702602,0.732342
5.011152,0.7434945
5.438662,1.055762
5.70632,0.9405205
5.944238,1.200743
6.449814,1.063197
7.58736,1.371747
8.951673,1.710037
9.764925,1.951493
11.33209,2.328358
13.99618,3.041985
16.64122,3.641221
18.8855,4.236641
20.36502,4.707224
21.34091,4.931818
21.39394,5.011364
20.75849,4.826415
20.16604,4.754717
23.17358,5.298113
25.58736,5.94052
26.59108,6.267658
28.85502,6.795539
30.62082,7.505576
32.57993,8.089219
33.84015,9.315985
36.49635,9.824818
38.12774,9.90146
37.4652,9.457875
35.97826,8.887681
35.69565,8.771739
32.93091,9.763637
33.73818,9.421818
32.98182,9.210909
33.4,8.287272
32.90909,8.774546
32.36823,9.043322
33.84476,10.01805
35.29242,11.16967
37.82671,11.4657
35.77617,10.29603
34.99278,9.6787
35.11913,9.404332
34.30435,9.637681
35.02158,8.845324
34.02878,8.629497
33.3741,8.910072
32.84533,8.989208
32.23381,9.219424
32.70863,8.392086
33.12996,8.505415
33.60289,8.787004
33.37906,8.422382
31.6065,8.046931
31.48376,7.888087
30.63406,8.188406
30.8587,8.195652
30.94585,7.703971
30.49459,8.155234
31.77617,8.104693
30.96763,8.014388
31.47122,8.690647
31.01439,8.320144
31.26619,8.435252
31.11511,8.428058
30.51079,8.374101
32.52878,8.791367
31.19424,8.241007
31.09352,7.978417
32.29856,8.334533
31.41727,8.201439
32.02546,8.156363
32.3777,8.165467
33.04044,9.360294
33.35402,9.302919
32.87591,9.441606
32.29856,9.348921
31.94964,9.064748
32.83033,9.129964
33.33935,8.938628
32.22021,8.566787
34.32491,8.700361
33.90253,8.393502
32.59341,7.893773
32.79853,7.648352
33.26007,8.179487
33.49451,8.161172
33.46931,8.65343
32.9278,8.451263
32.27437,7.631769
32.02888,8.173285
33.66426,8.610108
33.42599,8.32491
33.00361,7.938628
33.46931,7.837545
33.92419,8.043322
33.46209,7.98917
35.12275,8.783394
34.90253,9.303249
35.19414,8.542125
36.38828,8.81685
36.09158,8.501831
36.27437,8.602888
40.80145,10.70397
42.6787,11.0361
42.03971,11.74729
42.23466,12
41.71062,11.49451
40.13919,10.94506
40.86081,11.43956
39.52015,10.01832
39.34066,10.21978
38.64835,10.14652
37.38828,9.186813
37.81685,9.457875
39.61372,10.07581
41.5704,11.26354
39.47654,10.96029
36.6065,10.61372
34.12275,9.249098
31.9278,8.570397
29.65704,7.851985
30.73646,7.714801
27.77978,6.595668
26.11913,5.711191
24.9639,5.480145
23.76534,5.465704
23.19495,5.776173
25.33213,6.151625
24.88448,5.906137
23.12635,5.689531
23.59206,5.649819
23.13768,5.416667
22.90217,5.202899
24.79348,6.097826
25.02527,6.610108
25.33213,6.173285
23.68953,5.776173
23.88809,5.931408
23.88448,5.389892
24.54874,5.754513
26.30576,6.165468
25.54676,6.179856
24.05396,5.363309
24.23381,5.744604
24.78057,5.964029
26.33453,6.902878
26.51439,6.201439
26.1223,6.269784
25.76978,6.21223
25.0036,5.820144
25.25899,7.017986
26.19424,6.557554
26.66547,6.776978
27.04317,7.31295
26.3777,7.122302
27.92086,7.086331
28.82374,7.539568
28.76619,7.374101
28.72202,6.859206
28.51264,6.981949
27.84476,6.545126
27.51799,6.708633
28.79137,7.33813
30.20504,7.431654
30.10432,7.478417
29.73381,6.996403
28.76978,7.032374
28.65468,7.003597
29.30935,7.492806
28.06475,7.226619
28.98561,7.330935
29.50719,7.205036
28.61511,7.089928
29.77698,7.410072
30.13309,7.553957
31.97482,7.866907
31.14029,7.701439
31.55755,7.730216
30.95683,7.726619
30.58845,7.577617
31.6426,7.732852
29.61011,7.277978
28.25632,6.610108
26.72563,5.931408
23.91336,5.570397
21.47292,5.541516
20.92058,4.895307
20.32491,4.34296
19.48736,3.942238
17.68592,3.476534
16.39711,3.444043
15.0471,3.014493
14.47464,2.82971
13.38043,2.626812
12.54348,2.445652
14.07971,2.851449
13.18841,2.775362
12.49275,3.318841
12.69928,3.442029
12.75362,3.235507
12.41877,3.205776
11.32491,2.99639
10.22022,2.916967
9,1.412409
8.424909,1.326007
8.79927,1.375912
8.419708,1.317518
7.628159,1.815884
8.289855,1.496377
8.815217,1.449275
8.275362,1.514493
8.268116,1.496377
7.314079,1.527076
6.563177,1.34657
6.007246,1.268116
5.549091,0.7454545
5.967153,0.9708029
6.254546,0.9745455
10.68364,2.134546
17.21739,3.876812
