intensidad,ocupacion
5.871324,0.7720588
6.161765,0.7352941
6.476015,0.7490775
6.671587,0.8081181
7.178832,0.8613139
7.273723,0.8540146
8.080292,1.065693
8.356363,0.9927273
8.745455,1.047273
8.418181,0.9818182
8.298182,1.207273
8.492754,1.137681
8.884058,1.278986
9.586957,1.333333
9.753623,1.32971
10.00725,1.387681
11.14493,1.764493
12.26182,1.781818
13.12774,2.160584
14.95307,2.155235
15.17329,2.3213
15.1769,2.740072
14.58845,2.364621
14.6426,2.404332
15.4657,2.371841
16,2.471014
18.06859,2.898917
18.41877,3.115524
19.50903,3.285198
21.27076,3.754513
22.29856,4.079137
24.6259,4.402878
25.50719,4.830935
24.94224,4.617329
24.02888,4.577617
25.63799,5.082437
27.96786,5.817857
29.01799,5.517986
29.66072,6.171429
29.55396,5.989209
29.94245,5.938849
31.41367,6.94964
33.8777,7.561151
34.03929,7.392857
34.2,7.192857
33.84286,7.264286
33.22143,7.057143
32.55714,6.871428
34.625,7.657143
34.98561,7.517986
34.59712,7.690648
34.23741,7.456834
33.53929,7.664286
33.51786,7.982143
34.82143,8.235714
34.68571,8.2
35.05,8.371428
34.11151,7.960432
32.15357,8.55
32.78339,7.581227
33.72143,9.2
34.32857,8.917857
32.53929,8.642858
32.46786,8.732142
31.875,10.10714
32.06786,10.42857
33.58214,10.97143
35.76429,11.81786
34.88572,10.15714
33.18929,8.517858
32,8.567857
32.99643,8.296429
32.63799,7.853046
34.62724,8.928315
34.13979,8.849463
34.15054,8.659498
33.21864,8.512545
32.97491,8.530466
33.80287,8.774194
34.68817,8.663082
34.88929,8.732142
31.46428,7.489286
31.73214,7.285714
32.19643,7.525
34.08664,8.144404
34.73285,8.516246
34.39711,8.184115
32.2724,7.215054
30.86021,7.34767
31.68459,7.508961
30.83154,7.114696
31.18996,7.039426
31.38351,6.982079
30.77143,6.914286
30.3,6.771429
31.09643,6.835714
33.22857,7.625
34.16429,7.685714
34.80357,8.214286
36.50357,8.632143
35.46429,8.278571
38.38572,9.182143
39.79286,9.625
40.93571,10.77857
42.34058,10.85145
41.19203,10.7971
40.60584,10.58394
40.31522,10.40217
41.67754,10.74638
42.99638,10.69203
41.5,10.67029
43.56884,11.76812
41.18116,11.23188
42.41304,12.03261
43.58696,12.22464
42.88406,12.35507
43.68929,12.53929
40.54643,10.875
36.2518,8.910072
35.58214,8.275
35.00357,8.907143
35.67857,8.810715
35.40942,8.402174
35.80072,8.347826
33.51449,8.01087
33.01812,7.728261
33.35,7.935714
32.78214,8.232142
32.18571,7.421429
32.21786,7.55
30.96786,7.857143
31.13214,7.692857
31.05714,7.439286
31.36071,7.65
31.36559,8.455197
30.73835,8.530466
31.80645,8.071685
30.70357,7.7
32.73571,8.103572
31.43929,7.65
31.80216,7.323741
31.06786,7.485714
30.46786,7.671429
30.64643,7.839286
30.75714,8.153571
32.63214,8.003572
32.53571,7.878572
31.64286,7.775
31.35,7.435714
30.47143,7.607143
30.73214,7.532143
31.78929,7.8
30.01429,7.278572
30.24286,7.9
30.06786,7.517857
30.05018,7.724014
30.11828,7.670251
31.88809,8.231047
31.05018,8.827957
30.27957,7.774194
30.30357,8.160714
29.75357,8.217857
30.04643,8.075
30.86429,8.207143
31.20714,8.510715
31.71428,8.292857
31.29137,8.107914
31.99643,8.510715
34.46762,9.665467
33.95,10.11786
32.94286,9.775
