intensidad,ocupacion
1.828431,0.3333333
2.098522,0.3990148
2.158416,0.3118812
2.20098,0.377451
2.328431,0.4215686
2.315271,0.3842365
2.669903,0.4174757
3.129808,0.5673077
3.776191,0.6190476
3.385714,0.8285714
3.052632,0.6602871
3.009615,0.5
3,0.6038647
3.587379,0.6941748
4.014493,0.7681159
3.966507,0.722488
4.152381,0.6380953
4.738095,0.7761905
5.471428,0.9095238
6.306604,1.264151
7.839622,1.457547
7.65566,1.325472
8.929578,1.516432
9.43662,1.661972
10.23944,1.802817
10.92488,1.906103
12.16901,2.323944
12.52582,2.28169
12.07042,2.643193
13.05164,2.539906
13.5493,2.483568
13.61033,2.70892
14.64789,2.690141
14.06573,2.737089
13.11737,2.535211
13.87793,2.812207
15.5493,2.943662
15.62911,2.877934
16.53052,3.41784
16.7324,3.28169
16.21127,3.41784
17.68545,3.751174
19.48357,4.075118
20.4507,4.422535
19.92488,4.183099
19.49296,3.929577
18.34579,4.14486
18.42991,4.168224
19.28505,4.537383
20.88785,4.616822
20.26636,4.892523
20.86916,4.71028
21.79906,5.130841
21.36916,4.775701
23.62617,5.014019
24.41589,5.098131
23.73832,5.224299
24.38028,5.051643
23.56338,4.84507
22.30986,4.887324
24.02817,5.234742
25.06573,5.478873
25.80751,6.206573
27.12676,6.521127
29.77143,7.114286
29.64319,7.192488
32.85446,8.211267
33.44601,8.450705
32.69014,8.492958
29.96714,7.544601
26.52113,6.314554
26.03286,6.183099
25.7324,6.380282
26.22535,6.201878
25.9061,6.333333
24.72249,6.08134
25.70813,6.177033
26.69417,6.194175
26.11962,6.267942
27.65072,7.210526
26.86124,6.124402
24.80383,5.755981
25.56938,5.861244
24.70813,5.569378
25.69856,6.263158
27.2723,6.544601
26.76056,6.746479
25.0892,6.131455
26.15962,6.258216
26.53521,6.610329
25.59155,6.244132
27.94366,6.755868
26.6385,6.286385
26,6.253521
27.21717,6.515152
27.61033,6.549296
30.44565,8.173913
29.7324,7.633803
30.88263,7.568075
31.29108,7.798122
31.16901,8.131455
34.10798,8.957747
37.1784,11.13615
38.26291,11.55399
40.95305,12.48826
38.83568,11.83568
37.55869,11.5493
36.46009,12.23944
38.22066,12.26761
39.15023,12.65728
40.51174,12.50704
40.6338,12.10329
38.46479,12.43662
40.0047,12.40845
40.58216,12.38028
40.93939,13.37879
42.0047,13.31925
37.65258,10.94366
31.97183,8.690141
31.44131,8.281691
31.16901,7.906103
31.4554,8.169014
32.14085,8.765258
32.92488,8.647887
30.52582,7.920188
29.64319,7.971831
29.73709,7.7277
31.13145,8.342723
29.80751,8.338028
28.58685,7.784038
27.60563,7.103286
26.80751,6.948357
26.07512,7.431925
27.71831,7.769953
26.9108,6.934272
27.41315,6.938967
26.74648,6.953052
25.96244,6.812207
28.0892,7.737089
27.97653,7.957747
26.34742,7.751173
27.05634,7.948357
26.72301,7.826291
25.1784,7.86385
26.94366,7.915493
27.05164,7.859155
26.26291,7.511737
27.21698,7.688679
26.4717,7.721698
26.52607,7.293839
26.17371,7.370892
25.92488,7.028169
25.31455,7.14554
24.58685,6.685446
25.75117,7.314554
25.07512,6.892019
25.15962,7.201878
25.2723,6.713615
25.80282,7.183099
25.65728,6.976526
25.9108,7.131455
24.65728,6.713615
24.22066,6.535211
25,6.713615
25.53521,6.877934
24.80751,7
25.97653,7.042253
26.19718,7.431925
27.75117,7.802817
29,7.971831
29.05164,8.169014
29.59155,7.859155
30.14554,8.267606
32.30516,8.934273
33.59624,9.525822
34.30516,10.70423
35.98592,10.24413
33.46009,9.826291
34.24883,9.924883
36.26291,9.816901
36.71362,11.20657
39.86385,11.26761
38.80751,10.78873
38.47887,10.84507
38.23944,11.39906
37.8169,12.21127
39.53521,11.71362
41.23474,13.26291
40.74648,13.10329
42.31925,12.74178
41.53052,13.76526
44.95774,15.18779
44.93897,15.56338
43.19718,14.70892
41.46009,14.22066
38.14085,12.48357
36.25352,10.4554
33.85915,9.478873
30.58216,7.765258
28.09859,7.023474
24.61033,5.962441
22.6385,4.86385
19.5446,4.018779
18.37559,3.694836
18.37264,3.462264
18.00474,3.521327
17.81429,3.628572
14.8,2.971429
12.61722,2.449761
10.26442,1.942308
9.203883,1.65534
9.333333,1.632353
8.463055,1.497537
7.151961,1.333333
6.156566,1.328283
5.949495,1.171717
5.984925,1.080402
5.326633,1.160804
4.959799,0.8743719
4.502512,0.8944724
3.979899,0.758794
3.437186,0.6633166
2.437186,0.4120603
2.507538,0.4773869
1.9799,0.2211055
1.683417,0.1809045
1.562814,0.2864321
1.839196,0.2060301
1.552764,0.3316583
1.482412,0.1809045
1.542714,0.2713568
1.824121,0.3115578
1.251256,0.1507538
0.8994975,0.1155779
1.150754,0.1005025
1.281407,0.361809
1.080402,0.1557789
1.341709,0.241206
0.8844221,0.1055276
1.190955,0.2110553
1.20603,0.3768844
1.075377,0.1909548
0.9748744,0.3015075
0.9849246,0.2311558
0.8894472,0.3165829
0.7889447,0.06030151
1.025126,0.3467337
