intensidad,ocupacion
8.838129,1.151079
8.417266,1.165468
8.314079,1.198556
8.563177,1.245487
8.758122,1.068592
8.970909,1.196364
9.72,1.254545
9.201439,1.248201
10.04317,1.248201
10.14388,1.352518
9.834533,1.323741
10.30216,1.464029
10.22662,1.363309
10.80935,1.402878
11.11232,1.554348
10.93841,1.539855
12.51273,1.836364
13.89455,2.083636
14.81159,2.398551
16.55072,2.460145
16.93502,2.552346
16.25899,2.55036
15.43369,2.569892
16.54122,2.842294
17.35126,2.853047
17.69893,2.835125
19.60714,3.264286
19.94265,3.390681
21.74552,3.78853
23.11429,4.1
23.96786,4.282143
24.27143,4.296429
26.71786,5.175
26.06786,5.046429
25.74643,5.007143
26.55,5.239286
28.30466,5.83871
29.5448,5.691756
31.01805,6.115523
31.55396,6.374101
31.42806,6.276978
31.59643,6.707143
33.86786,7.589286
35.16429,7.928571
34.98928,7.764286
33.71071,7.110714
33.19643,7.225
33.89643,7.8
35.17204,8.46595
36.3871,8.419354
35.59857,8.125448
35.70182,8.152727
34.89892,7.606498
35.29182,8.427046
36.42705,8.47331
36.09608,8.533808
34.63345,8.156584
33.82918,8.231317
34.07447,8.66312
32.97857,9.028571
33.43929,10.36429
34.85357,10.575
33.41786,10.04643
33.39643,9.925
34.05357,9.203571
33.53571,8.225
35.10714,8.392858
35.52174,8.369565
35.67143,8.532143
34.7,8.171429
32.69643,8.05
33.11071,7.792857
33.56071,8.667857
33.94643,8.525
35.97143,8.757143
32.95714,8.042857
33.81071,8.017858
31.96071,8.107142
32.87143,7.935714
34.23928,7.978571
32.125,7.353571
31.625,7.167857
31.23929,7.039286
31.975,8.685715
33.10357,8.575
32.96429,7.525
32.74101,7.107913
30.20714,6.675
30.31071,6.85
30.96071,7.046429
31.63929,7.471428
31.73214,7.157143
30.89643,7.203571
30.81429,6.771429
30.17921,6.734767
30.86738,6.620072
33.08214,7.292857
34.51971,8.150537
34.37634,7.896057
34.65591,8.383512
36.58333,9.710145
37.61594,9.956522
38.3442,10.22464
39.43478,10.96014
40.9384,12.0471
40.0942,11.40942
40.97826,10.85145
41.14493,11.17029
41.85455,11.45091
42.88929,11.24643
42.35714,11.96071
42.53046,11.81004
41.60932,11.51613
43.08273,11.90648
43.88849,13.22662
42.83929,12.225
43.97857,11.75357
