intensidad,ocupacion
10.32226,1.531561
11.39535,1.69103
11.25667,1.756667
11.35548,1.960133
12.10333,1.946667
13.29,2.106667
14.25581,2.554817
15.51827,2.72093
16.40199,2.710963
15.75,2.776667
15.35548,2.531561
16.44,3.183333
18.33223,3.225914
19.40397,3.612583
19.88449,3.821782
20.84158,3.933993
20.95724,3.9375
21.95066,4.25329
24.86184,5.046052
26.40132,5.289474
27.94079,5.930921
26.20395,5.641448
26.43092,5.483552
27.64918,6.786885
30.09477,7.506536
31.82353,7.656863
31.91503,8.215686
31.65359,9.147058
30.92157,9.797385
31.53268,10.13399
33.8268,10.44118
34.01967,9.209836
34.40594,10.21122
33.00331,9.874172
31.61056,9.924092
32.12211,11.46865
32.07591,11.9934
33.85149,11.91749
32.97712,13.01634
31.80719,12.77778
31.86601,12.03268
32.11765,11.01307
33.40196,12.14379
34.24183,12.40523
34.12091,10.18301
33.20261,10.98039
32.2451,10.81046
33.03268,11.16667
34.43791,11.80392
35.26797,12.81046
33.62091,11.92484
33.66667,11.55556
34.45425,10.78431
34.13399,10.33333
35.33987,10.95752
36.32566,10.51316
35.57895,10.45395
34.40461,9.756579
33.51961,9.794118
33.56209,9.794118
33.32353,9.96732
33.78758,10.33007
32.48039,9.905229
30.67974,9.055555
31.80392,9.212419
30.54575,8.594771
31.80065,9.539216
33.01634,9.045752
30.26797,8.196078
29.69608,8.735294
28.52288,7.656863
29.40523,8.882353
30.21895,8.683006
31.10458,8.24183
31.00654,7.892157
28.34641,7.055555
28.88889,7.663399
29.04575,7.627451
29.62091,8.271242
30.86424,7.903974
30.75497,8.122517
30.39404,8.463576
30.17219,8.89404
32.16013,10.18301
33.69934,10.38889
34.70261,11.17647
36.17647,12.13072
36.79412,12.53595
37.19934,13.73203
39.23856,15.36601
38.9902,15.38889
40.58497,16.37909
41.5915,16.85621
40.80392,16.18627
39.13072,17.13399
39.66993,16.76797
39.52614,17.41176
40.27778,16.68627
41.18301,16.43791
40.70588,15.62745
39.8268,15.4183
39.9183,15.54248
40.69281,15.54575
40.73856,15.22876
41.9085,15.04575
40.54575,13.22222
35.49347,10.77451
34.16013,9.879085
34.86928,11.15033
36.15686,10.95425
35.53268,10.89216
34.36601,10.21242
33.76144,10.48039
32.24837,9.529411
31.69608,9.480392
32.86928,9.173203
31.34314,8.346405
32.0915,8.359477
30.81639,8.222951
29.88853,8.278688
30.90164,8.8
30.86885,9.003279
30.65033,8.045752
31.3366,8.398693
30.66013,8.767974
31.12418,8.892157
31.88235,8.810457
31.22876,9
30.94444,8.895425
30.86184,8.878289
30.80719,8.490196
30.38889,8.931373
31.15359,9.712419
31.14052,9.336601
29.73856,9.173203
30.15359,8.921569
29.70915,8.46732
30.33333,9.254902
28.71569,8.90196
29.79085,8.712419
29.48366,8.297385
29.22442,8.643564
30.05941,8.389439
29.0165,8.122112
29.62046,8.765676
29.59406,9.452146
28.6755,9.798014
28.07947,9.417218
27.98333,8.926666
28.26246,9.059801
28.50498,9.023255
27.95638,9.291946
27.51839,10.07023
27.09428,9.700336
28.86333,10.74
29,9.667774
31.04013,10.16388
31.55814,10.63455
31.16498,11.24579
31.79801,11.88411
31.08609,12.87417
32.63455,12.38538
32.89701,13.22591
34.90333,13.71333
35.52824,13.89701
35.84718,13.27907
35.51634,14.07516
36.56954,14.49338
38.21854,14.77152
39.44118,14.36928
39.04902,14.41177
