intensidad,ocupacion
13.8172,2.609319
13.725,2.425
12.90357,2.310714
13.51071,2.517857
13.53381,2.601424
13.84342,2.654804
13.59431,2.896797
13.78571,3.125
13.21429,2.764286
13.0036,2.535971
13.6259,2.776978
13.19424,2.564748
13.85971,2.532374
14.98925,2.892473
15.97482,3.071942
16.16846,3.089606
16.82079,4.566308
18.89247,4.698925
19.81429,4.7
18.92171,4.640569
20.00356,4.330961
20.04271,4.811388
18.62278,5.181495
19.6831,7.211267
19.91901,6.700704
20.5669,7.890845
20.5,6.570423
20.92253,7.492958
21,9.62676
21.71479,9.996479
21.24382,12.41343
22.28622,11.97173
21.77817,8.862676
21.56028,7.567376
21.44876,6.583039
22.28572,8.346429
23.18505,6.24911
23.39146,6.565836
23.50534,6.736655
23.60142,6.231317
22.81851,6.010676
23.53025,6.298933
23.96797,7
23.22857,6.885714
23.21352,6.740213
22.50534,7.3879
21.60854,7.252669
22.94306,7.49822
22.84946,6.103943
23.56584,6.19573
22.96085,5.790036
22.67857,6.071429
22.96403,6.334532
21.97491,5.946237
23.05018,6.261649
21.78853,6.433692
19.85816,6.780142
21.24823,6.819149
19.77385,7.360424
19.55872,6.825623
20.32258,6.39785
19.62724,6.896057
18.98208,7.028674
20.41367,6.438849
19.88571,6.160714
19.30686,5.880867
20.01805,5.584837
19.95307,5.956679
19.52899,6.021739
19.02867,7.096774
17.89606,6.569892
18.10394,6.562724
18.61649,6.569892
17.93548,6.569892
19.3,7.139286
17.53929,5.614286
17.8,5.046429
17.67857,4.889286
18.14286,4.392857
17.66786,5.214286
17.59783,4.634058
16.5942,4.105072
16.61455,4.436364
16.21377,4.753623
16.84,4.327273
16.73188,5.242754
16.07971,4.876812
15.31541,5.146954
16.24373,4.802867
15.07527,4.896057
15.3741,4.464029
15.25979,5.704627
14.33452,5.483986
14.24199,4.537366
13.85409,4.441281
13.78929,4.032143
13.66308,3.756272
14.97153,3.548043
15.35125,3.146953
14.68231,3.646209
14.80866,3.263538
15.39711,3.404332
16.03957,3.366906
16.6295,3.658273
16.85971,3.464029
16.50179,3.451613
17.21505,3.598566
17.6595,3.365591
18.88448,3.956679
19.3405,4.125448
20.74823,5.283688
21.08865,5.528369
21.77305,5.602837
22.5,5.863309
23.98561,6.039568
25.30576,6.115108
25.23022,6.302158
25.58993,5.223022
24.22302,5.122302
24.06884,4.811594
24.44604,5.003597
25.42446,5.625899
24.82014,6.348921
25.02888,6.176895
25.3274,5.939502
26.00357,6.175
25.60573,5.469534
25.45196,5.900356
25.32384,6.149466
25.64057,6.021352
25.51957,5.907473
24.88298,6.677305
25.67731,7.003546
25.57447,7.822695
25.41343,7.734982
25.51773,7.287234
24.80282,7.528169
26.1338,6.598591
26.28723,5.992908
25.7993,6.475352
25.1162,5.992958
25.07447,6.265957
24.77385,6.650177
24.89568,6.097122
25.1259,6.165468
25.13929,7.160714
24.30357,5.932143
24.77698,7.035971
24.16726,5.886121
23.23487,6.320285
22.97153,5.594306
22.51957,5.807829
22.18149,5.156584
22.94662,5.50178
22.45161,5.55914
22.04301,5.516129
21.91429,5.239286
21.59643,5.367857
20.96763,5.388489
21.10623,4.970696
20,4.571942
20.16488,5.103943
18.34164,4.530249
18.95018,4.644128
18.77419,5.516129
18.19134,5.386281
18.9278,6.039711
18.81522,4.971014
19.34409,5.55914
18.42349,6.594306
17.49466,6.508897
16.71886,6.80427
16.82562,7.854093
15.68953,6.740072
15.45683,6.143885
15.35971,6.302158
16.20144,3.967626
15.6,3.494545
15.4,4.647273
15.55185,4.507407
14.70696,5.311355
14.97786,5.501845
14.08088,4.147059
13.21111,3.774074
12.62016,5.232558
11.65116,4.662791
12.18992,4.306201
11,5.275472
10.50951,5.197719
10.5249,6.655172
9.153256,5.597701
8.839695,5.145038
8.652672,5.221374
9.312977,5.087786
8.946768,4.646388
9.061069,4.854962
8.455224,5.813433
7.697761,5.432836
8.015038,3.962406
7.126354,3.296029
7.093863,2.274368
7.405109,2.441606
6.70073,1.215328
6.59854,1.167883
6.605839,1.182482
6.854014,1.109489
7.175182,1.054744
6.682482,0.9489051
6.505495,0.7655678
6.131868,0.6886447
5.886861,0.7664233
5.569343,0.8868613
5.007168,0.5985663
4.618705,0.4820144
4.695035,0.464539
4.613475,0.464539
4.248227,0.4219858
4.609929,0.4716312
4.769504,0.4432624
4.666667,0.4539007
4.219858,0.3971631
4.109929,0.3085106
3.950355,0.393617
3.943262,0.4397163
4.432624,0.4468085
4.017731,0.4219858
3.546099,0.2836879
3.212766,0.287234
3.904255,0.9078014
3.865248,0.429078
4.003546,0.3687943
3.910714,0.3285714
3.652482,0.2553191
3.620567,0.2517731
3.453901,0.2340426
3.41844,0.2517731
3.507092,0.3014185
3.670213,0.4007092
3.578014,0.2801418
3.673759,0.3049645
3.780142,0.3439716
3.737589,0.287234
3.829787,0.3333333
3.900709,0.3687943
4.060284,0.322695
4,0.3368794
4.276596,0.3865248
4.56383,0.4078014
4.102837,0.3687943
4.315603,0.3014185
4.464539,0.4042553
4.390071,0.4148936
4.723404,0.4964539
4.294326,0.4113475
4.629497,0.4352518
5.061151,0.6151079
5.255396,0.5251799
5.446043,0.4820144
5.726619,0.6582734
6.197842,0.5611511
6.223022,0.7338129
6.394928,0.9021739
6.654676,0.7913669
6.208633,0.6798561
7.125899,0.9532374
7.384892,0.9028777
7.262411,0.8865248
8.524822,1.021277
8.879433,1.205674
8.670213,1.205674
9.780142,1.322695
10.73404,1.48227
10.89007,1.702128
11.10284,1.907801
11.92199,2.120567
12.38298,2.131206
13.25532,2.219858
14.11347,2.333333
14.53546,2.322695
15.61071,2.732143
15.56028,2.702128
15.01064,2.460993
14.65603,2.72695
13.69858,2.258865
13.96099,2.265957
13.33688,2.368794
13.40071,2.074468
13.65233,2.756272
