intensidad,ocupacion
14.07261,2.871287
14.12211,2.693069
13.51485,2.887789
13.71947,2.577558
13.66337,2.333333
13.5596,2.645695
13.95,2.78
14.68874,2.990066
13.49505,2.858086
13.87459,2.729373
14.0329,2.75
13.4375,2.743421
14.57237,3.049342
15.1082,3.203279
15.85902,3.170492
16.0459,2.872131
16.91475,2.957377
19.00656,3.285246
19.57049,3.744262
20.93791,3.908497
21.54248,4.019608
20.72222,3.905229
21.00984,3.92459
22.31803,4.383606
22.7608,4.654485
23.78405,5.036545
25.3588,5.252491
27.34219,5.890366
26.88667,6.036667
28.94333,6.536667
29.48837,7.056479
30.80464,7.39404
31.1755,7.413907
31.40864,8.112957
30.86799,7.963696
32.95033,8.327814
33.82782,8.433775
34.26821,8.251656
35.11628,8.750831
35.32119,9.003311
33.30693,8.438944
34.33003,8.132013
35.62706,9.287128
35.32119,10.45364
35.68874,11.11589
34.31596,11.21498
32.44521,9.804794
31.7329,9.612378
33.10164,10.4459
32.87622,10.62866
32.30392,11.04575
33.18033,11.16066
31.56536,10.54248
31.17974,9.751634
32.62623,9.242623
32.27869,9.311476
31.35082,9.518033
31.75987,9.930921
31.3125,9.243421
30.27303,8.980263
31.54934,9.345395
33.13816,10.49013
30.82895,9.532895
32.57237,10.24342
30.71803,9.370492
31.09446,9.32899
31.46557,10.00656
31.28852,10.27541
31.21824,10.47231
30.24183,9.745098
30.08469,9.185668
30.30945,9.276873
30.92484,9.104575
32.47386,9.911765
30.51961,9.699347
29.72313,9.442997
29.80456,9.703583
30.04886,9.644951
30.30293,9.208469
30.99674,9.384365
30.0684,9.136807
27.8469,8.570032
28.83062,7.977199
28.75896,7.198697
29.26384,7.462541
29.14658,7.446254
27.93485,7.029316
27.69836,7.163934
27.08143,7.67101
26.91205,7.592834
28.30945,6.739414
28.04886,7.107492
28.53746,6.899023
28.2443,7.299674
28.23453,7.504886
29.1531,8.136807
29.63518,8.807817
31.83388,9.192183
33.02932,9.934854
35.16938,10.76221
36.26059,12.41694
37.21173,13.58306
39.06515,13.79153
40.65147,15.34853
41.54723,16.59609
40.87541,16.0623
40.93159,15.94788
41.02932,15.443
41.05212,15.46906
42.77525,16.65798
42.93159,15.99674
43.85246,15.99672
42.84039,15.37785
43.24104,15.91531
44.50492,17.31803
43.57655,16.38437
42.87622,15.63518
41.72313,14.25081
37.67101,13.72964
37.65798,13.25733
38.07817,12.76873
37.31908,12.29605
37.55882,12.16667
37.3366,12.51307
35.91177,11.80065
34.64821,10.96743
35.12052,11.64169
34.08469,10.52117
34.42671,10.74593
34.34528,11.27687
32.95765,10.69707
34.55738,10.49508
33.87213,9.954099
33.66006,10.78878
32.83607,10.36066
32.94098,10.17377
32.43648,10.33225
32.21569,10.09804
32.41503,10.49346
32.66667,10.68954
31.79085,10.34314
32.61111,10.82353
31.66667,10.02941
31.85294,9.715686
33.2947,10.22185
31.99671,9.832237
32.18152,10.10891
32.17492,9.237624
31.44408,9.572369
31.56721,10.43607
30.36393,9.859016
31.09477,9.725491
29.12745,9.46732
30.21895,9.588235
29.99346,9.382353
28.87582,8.225491
29.50327,8.385621
29.52303,9.263158
29.0098,8.647058
28.84641,9.179739
29.19608,8.843137
29.05882,7.924837
27.25246,7.304918
28.63935,7.662295
28.41639,7.898361
26.84967,7.218954
28.93137,7.859477
28.51307,9.846405
30.39145,9.480263
30.38688,9.478688
29.99335,9.358804
30.42857,8.16279
29.71428,7.89701
31.0623,8.111475
31.45902,8.318033
33.07869,8.809836
33.68078,9.889251
33.2671,9.833877
32.35505,9.342019
33.74257,10.24422
35.9538,11.19802
36.48013,11.33444
37.38944,10.92079
37.87459,10.59736
36.45874,10.74257
37.50825,11.25082
37.55814,10.85714
38.83775,11.7649
39.09333,11.60667
40.23026,11.6546
41.94079,12.66447
43.66118,13.97697
44.73597,13.33663
43.72517,13.25497
43.42384,12.82781
40.66887,11.07947
36.63907,9.672186
33.91059,8.635761
32.41391,7.410596
28.66887,5.847682
26.18212,5.125828
23.31894,4.664452
21.15615,3.700997
19.81395,3.338871
19.84158,3.475248
19.33333,3.504951
16.92079,3.257426
16.71854,2.844371
13.59603,2.592715
12.03642,2.023179
11.09603,1.860927
10.08638,1.674419
8.617162,1.333333
7.714754,1.013115
6.885246,0.895082
6.326797,0.8562092
6.088525,0.7016394
5.87541,0.7737705
6.062295,0.7704918
5.2,0.5606557
4.527869,0.4918033
4.042623,0.5278689
3.564356,0.3531353
3.331147,0.2786885
3.013115,0.2852459
2.816393,0.1672131
2.701639,0.2131148
2.672131,0.1442623
2.701639,0.2557377
2.52459,0.1770492
2.832787,0.3573771
2.92459,0.2688525
2.485246,0.3606557
2.321311,0.3442623
2.234324,0.2013201
2.252459,0.1278688
2.255738,0.1868853
2.334426,0.2491803
