fecha,intensidad,ocupacion
2021-01-16 00:01:09.350,1.718447,0.1601942
2021-01-16 00:06:08.047,1.615,0.185
2021-01-16 00:11:04.200,1.64,0.255
2021-01-16 00:16:03.320,1.79,0.145
2021-01-16 00:21:03.510,1.47,0.25
2021-01-16 00:26:03.663,1.36,0.465
2021-01-16 00:33:59.230,1.205,0.195
2021-01-16 00:36:04.310,1.17,0.21
2021-01-16 00:41:04.090,1.125,0.49
2021-01-16 00:46:03.627,1.08,0.16
2021-01-16 00:51:03.487,0.955,0.085
2021-01-16 00:56:04.330,0.9,0.27
2021-01-16 01:01:22.533,0.87,0.105
2021-01-16 01:06:04.787,0.805,0.195
2021-01-16 01:11:04.957,0.74,0.08
2021-01-16 01:16:04.440,0.69,0.115
2021-01-16 01:21:03.597,0.665,0.13
2021-01-16 01:26:03.657,0.68,0.095
2021-01-16 01:31:04.610,0.725,0.075
2021-01-16 01:36:03.680,0.66,0.075
2021-01-16 01:41:03.243,0.64,0.11
2021-01-16 01:46:03.480,0.675,0.19
2021-01-16 01:51:03.790,0.625,0.115
2021-01-16 01:56:03.713,0.705,0.095
2021-01-16 02:01:04.337,0.625,0.095
2021-01-16 02:06:03.337,0.725,0.08
2021-01-16 02:11:03.633,0.61,0.1
2021-01-16 02:16:03.947,0.7,0.115
2021-01-16 02:21:03.213,0.75,0.09
2021-01-16 02:26:03.530,0.67,0.08
2021-01-16 02:31:03.670,0.64,0.105
2021-01-16 02:36:03.473,0.77,0.115
2021-01-16 02:41:03.317,0.66,0.07
2021-01-16 02:46:03.810,0.53,0.065
2021-01-16 02:51:03.827,0.58,0.065
2021-01-16 02:56:04.103,0.67,0.075
2021-01-16 03:01:08.820,0.56,0.115
2021-01-16 03:06:03.540,0.54,0.155
2021-01-16 03:11:03.700,0.6,0.085
2021-01-16 03:16:03.420,0.735,0.105
2021-01-16 03:21:03.440,0.61,0.14
2021-01-16 03:26:03.777,0.525,0.125
2021-01-16 03:31:03.730,0.575,0.095
2021-01-16 03:36:03.407,0.635,0.09
2021-01-16 03:41:03.580,0.615,0.09
2021-01-16 03:46:03.353,0.775,0.135
2021-01-16 03:51:03.430,0.65,0.115
2021-01-16 03:56:03.680,0.77,0.23
2021-01-16 04:01:04.290,0.91,0.18
2021-01-16 04:06:03.497,0.905,0.37
2021-01-16 04:11:04.967,0.835,0.36
2021-01-16 04:16:04.580,0.925,0.27
2021-01-16 04:21:03.970,0.97,0.28
2021-01-16 04:26:03.383,0.79,0.145
2021-01-16 04:31:03.757,0.8,0.165
2021-01-16 04:36:03.417,0.81,0.095
2021-01-16 04:41:04.790,1.17,0.295
2021-01-16 04:46:06.567,1.235,0.24
2021-01-16 04:51:03.830,1.305,0.25
2021-01-16 04:56:03.580,1.065,0.285
2021-01-16 05:01:04.280,1.08,0.295
2021-01-16 05:06:03.393,1.12,0.265
2021-01-16 05:11:04.033,1.225,0.275
2021-01-16 05:16:03.903,1.31,0.215
2021-01-16 05:21:04.577,1.38,0.225
2021-01-16 05:26:04.037,1.55,0.14
2021-01-16 05:31:03.910,1.72,0.18
2021-01-16 05:36:03.570,1.905,0.31
2021-01-16 05:41:03.727,2.43,0.255
2021-01-16 05:46:03.410,2.61,0.325
2021-01-16 05:51:03.850,2.57,0.405
2021-01-16 05:56:03.970,2.41,0.26
2021-01-16 06:01:05.810,2.82,0.45
2021-01-16 06:06:03.827,2.900497,0.3830846
2021-01-16 06:11:03.640,3.489899,0.4646465
2021-01-16 06:16:03.403,3.311881,0.4504951
2021-01-16 06:21:04.030,3.776119,0.6666667
2021-01-16 06:26:05.570,3.477612,0.4577114
2021-01-16 06:31:04.163,3.980198,0.6188119
2021-01-16 06:36:03.460,4.014778,0.7142857
2021-01-16 06:41:04.180,4.584158,0.8514851
2021-01-16 06:46:03.680,5.527363,0.9900498
2021-01-16 06:51:04.210,5.384236,1
2021-01-16 06:56:03.480,4.91133,1.039409
2021-01-16 07:01:04.743,5.072815,0.8640777
2021-01-16 07:06:03.713,5.019417,0.8252427
2021-01-16 07:11:04.197,5.753623,1.05314
