fecha,intensidad,ocupacion
2021-02-09 00:01:03.717,1.339901,0.2167488
2021-02-09 00:06:04.480,1.303922,0.1029412
2021-02-09 00:11:04.007,1.107843,0.06372549
2021-02-09 00:16:03.960,1.279412,0.1323529
2021-02-09 00:21:03.870,1.107843,0.122549
2021-02-09 00:26:04.010,0.990196,0.05392157
2021-02-09 00:31:03.713,0.8431373,0.0245098
2021-02-09 00:36:02.973,0.7843137,0.01960784
2021-02-09 00:41:02.957,0.7156863,0.03431373
2021-02-09 00:46:03.117,0.622549,0.009803922
2021-02-09 00:51:02.953,0.5,0.377451
2021-02-09 00:56:03.957,0.5441176,0.01470588
2021-02-09 01:01:03.387,0.5637255,0.01470588
2021-02-09 01:06:04.030,0.5931373,0.03921569
2021-02-09 01:11:04.123,0.6421568,0.0882353
2021-02-09 01:16:04.143,0.6764706,0.05882353
2021-02-09 01:21:04.377,0.627451,0.02941176
2021-02-09 01:26:03.857,0.5392157,0.004901961
2021-02-09 01:31:04.190,0.5931373,0.0245098
2021-02-09 01:36:03.923,0.6176471,0.1127451
2021-02-09 01:41:03.787,0.7941176,0.09313726
2021-02-09 01:46:03.843,0.5882353,0.1127451
2021-02-09 01:51:04.020,0.627451,0.03431373
2021-02-09 01:56:03.840,0.6421568,0.02941176
2021-02-09 02:01:04.067,0.5294118,0.01960784
2021-02-09 02:06:04.630,0.4019608,0.009803922
2021-02-09 02:11:03.877,0.6715686,0.05882353
2021-02-09 02:16:04.063,0.8578432,0.1617647
2021-02-09 02:21:04.233,0.8431373,0.09803922
2021-02-09 02:26:03.783,0.6715686,0.1421569
2021-02-09 02:31:03.950,0.7647059,0.1862745
2021-02-09 02:36:04.147,0.7156863,0.1127451
2021-02-09 02:41:04.013,0.7549019,0.2205882
2021-02-09 02:46:04.113,0.7058824,0.2058824
2021-02-09 02:51:04.047,0.9166667,0.2745098
2021-02-09 02:56:03.783,0.9607843,0.1519608
2021-02-09 03:01:03.860,0.6470588,0.07843138
2021-02-09 03:06:03.683,0.7058824,0.06372549
2021-02-09 03:11:03.960,0.9264706,0.1764706
2021-02-09 03:16:03.890,0.4705882,0.2009804
2021-02-09 03:21:04.540,0.75,0.1960784
2021-02-09 03:26:04.183,0.7254902,0.1372549
2021-02-09 03:31:04.343,0.5686275,0.1862745
2021-02-09 03:36:04.213,0.6764706,0.2843137
2021-02-09 03:41:04.350,0.8480392,0.07352941
2021-02-09 03:46:04.247,1,0.1960784
2021-02-09 03:51:03.890,0.9754902,0.1666667
2021-02-09 03:56:04.313,0.8137255,0.05882353
2021-02-09 04:01:03.870,0.8284314,0.06862745
2021-02-09 04:06:04.117,0.759804,0.02941176
2021-02-09 04:11:03.947,0.6617647,0.1372549
2021-02-09 04:16:21.293,0.9313725,0.05392157
2021-02-09 04:21:04.483,1.034314,0.08333334
2021-02-09 04:26:04.257,1.25,0.1372549
2021-02-09 04:31:04.780,1.441176,0.2892157
2021-02-09 04:36:04.440,1.186275,0.2156863
2021-02-09 04:41:04.137,1.54902,0.2058824
2021-02-09 04:46:03.997,1.392157,0.1862745
2021-02-09 04:51:03.903,1.563725,0.3039216
2021-02-09 04:56:03.340,1.323529,0.2205882
2021-02-09 05:01:04.067,1.509804,0.2990196
2021-02-09 05:06:04.030,1.95098,0.245098
2021-02-09 05:11:04.187,1.955882,0.2941177
2021-02-09 05:16:04.393,2.02451,0.2647059
2021-02-09 05:21:04.363,2.485294,0.509804
2021-02-09 05:26:04.403,2.647059,0.4068627
2021-02-09 05:31:04.587,3.02451,0.495098
2021-02-09 05:36:04.100,3.583333,0.5392157
2021-02-09 05:41:04.333,4.372549,0.5735294
2021-02-09 05:46:04.077,4.985294,0.8823529
2021-02-09 05:51:04.187,5.338235,0.8872549
2021-02-09 05:56:04.167,5.906863,0.9656863
2021-02-09 06:01:04.550,5.882353,0.9852941
2021-02-09 06:06:04.730,5.826087,0.942029
2021-02-09 06:11:04.407,7.485437,1.23301
2021-02-09 06:16:04.530,8.483091,1.507246
2021-02-09 06:21:04.707,9.168269,1.836538
2021-02-09 06:26:04.857,10.14634,1.878049
2021-02-09 06:31:04.880,10.92488,1.798122
2021-02-09 06:36:04.403,12.88837,2.497674
2021-02-09 06:41:04.887,15.81481,3.032408
2021-02-09 06:46:04.510,16.80645,3.43318
2021-02-09 06:51:04.830,18.51376,3.669725
2021-02-09 06:56:04.833,18.94037,3.408257
2021-02-09 07:01:04.553,18.33486,3.784404
2021-02-09 07:06:04.437,18.95413,4.009174
2021-02-09 07:11:04.333,21.47248,4.266055
2021-02-09 07:16:04.753,24.47706,5.197248
2021-02-09 07:21:05.090,27.40826,6.261468
2021-02-09 07:26:05.460,30.75688,7.068807
2021-02-09 07:31:05.100,33.68349,8.472477
2021-02-09 07:36:04.760,35.34863,8.711009
2021-02-09 07:41:04.847,38.90367,10.58716
2021-02-09 07:46:05.353,42.45662,11.76712
2021-02-09 07:51:04.790,44.34246,12.16438
2021-02-09 07:56:04.510,45.1814,11.75349
2021-02-09 08:01:04.780,43.41395,11.47442
2021-02-09 08:06:04.687,43.13488,11.75349
2021-02-09 08:11:04.283,41.33023,10.91628
2021-02-09 08:16:04.847,39.75814,10.35349
2021-02-09 08:21:04.440,38.89767,10.07442
2021-02-09 08:26:04.503,40.82326,10.95349
2021-02-09 08:31:04.610,39.34418,10.79535
2021-02-09 08:36:04.357,39.88585,10.68493
2021-02-09 08:41:04.607,38.36073,9.776256
2021-02-09 08:46:04.670,40.36073,10.2968
2021-02-09 08:51:04.857,39.12329,9.803653
2021-02-09 08:56:04.280,38.03653,9.255708
2021-02-09 09:01:04.557,36.54338,8.835616
2021-02-09 09:06:04.577,34.1814,7.953488
2021-02-09 09:11:04.233,34.49537,8.25
2021-02-09 09:16:04.157,34.79167,7.930555
2021-02-09 09:21:04.643,34.56944,8.166667
2021-02-09 09:26:04.583,32.87037,7.740741
2021-02-09 09:31:04.643,31.37037,7.532407
2021-02-09 09:36:04.617,29.78241,7.277778
2021-02-09 09:41:04.480,28.70833,6.953704
2021-02-09 09:46:04.160,28.53241,7.046296
2021-02-09 09:51:04.753,28.90741,7.393518
2021-02-09 09:56:04.347,28.49074,7.648148
2021-02-09 10:01:04.550,26.69907,7.12963
2021-02-09 10:06:04.360,26.32727,6.240909
2021-02-09 10:11:04.560,24.88182,6.163636
2021-02-09 10:16:04.050,24.93182,6.063636
2021-02-09 10:21:04.650,25.16818,6.372727
2021-02-09 10:26:04.407,23.47727,5.854546
2021-02-09 10:31:04.573,24.91818,5.913636
2021-02-09 10:36:04.857,25.34546,6.322727
2021-02-09 10:41:04.613,24.4,6.654545
2021-02-09 10:46:04.683,24.79091,6.381818
2021-02-09 10:51:03.977,26.10455,6.786364
2021-02-09 10:56:04.137,25.19091,6.345455
2021-02-09 11:01:04.990,25.13182,6.345455
2021-02-09 11:06:04.780,26,6.518518
2021-02-09 11:11:04.937,25.36111,6.37963
2021-02-09 11:16:04.480,24.96818,5.986363
2021-02-09 11:21:04.483,25.74091,5.9
2021-02-09 11:26:04.560,26.78182,6.336364
2021-02-09 11:31:04.330,26.7,6.268182
2021-02-09 11:36:04.457,27.48636,6.331818
2021-02-09 11:41:04.090,26.05,6.168182
2021-02-09 11:46:04.147,25.8287,5.907407
2021-02-09 11:51:04.770,26.77778,6.111111
2021-02-09 11:56:04.470,26.47273,6.895454
2021-02-09 12:01:04.757,25.32727,6.586364
2021-02-09 12:06:04.800,25.85,7.572727
2021-02-09 12:11:04.480,27.37727,7.804545
2021-02-09 12:16:04.610,26.88182,7.377273
2021-02-09 12:21:04.800,27.65,7.095455
2021-02-09 12:26:04.540,27.28636,6.945455
2021-02-09 12:31:04.393,26.97273,6.545455
2021-02-09 12:36:04.373,27.24545,6.518182
2021-02-09 12:41:04.510,26.70909,6.590909
2021-02-09 12:46:04.533,26.33636,6.836364
2021-02-09 12:51:04.460,27.81364,6.495454
2021-02-09 12:56:04.233,27.66364,7.109091
2021-02-09 13:01:04.263,26.76364,6.777273
2021-02-09 13:06:04.720,27.48636,6.65
2021-02-09 13:11:04.493,28.89545,7.309091
2021-02-09 13:16:04.133,29.32727,7.372727
2021-02-09 13:21:04.517,30.02727,7.836364
2021-02-09 13:26:04.493,30.35455,8.245455
2021-02-09 13:31:04.333,30.02727,7.704545
