fecha,intensidad,ocupacion
2022-03-18 00:01:02.963,12.18118,1.710801
2022-03-18 00:06:02.913,9.314685,1.335664
2022-03-18 00:11:02.937,8.29021,1.052448
2022-03-18 00:16:03.090,7.461538,1.010489
2022-03-18 00:21:02.927,7.951049,0.9440559
2022-03-18 00:26:03.050,7.216783,0.7237762
2022-03-18 00:31:02.993,6.125874,0.6853147
2022-03-18 00:36:02.980,5.909091,0.5734265
2022-03-18 00:41:02.910,5.835664,0.5594406
2022-03-18 00:46:03.000,5.283217,0.527972
2022-03-18 00:51:03.050,5.241135,0.5141844
2022-03-18 00:56:03.003,4.368794,0.5141844
2022-03-18 01:01:02.937,4.447553,0.4055944
2022-03-18 01:06:02.860,4.020979,0.2517483
2022-03-18 01:11:02.877,3.646853,0.2377622
2022-03-18 01:16:02.887,3.559441,0.2377622
2022-03-18 01:21:02.913,3.72028,0.458042
2022-03-18 01:26:02.913,3.262238,0.2027972
2022-03-18 01:31:02.840,3.048951,0.1433566
2022-03-18 01:36:02.920,2.835664,0.1643357
2022-03-18 01:41:02.820,2.881119,0.2062937
2022-03-18 01:46:02.947,2.377622,0.2692308
2022-03-18 01:51:02.903,2.72028,0.3391608
2022-03-18 01:56:02.920,2.395105,0.1363636
2022-03-18 02:01:02.987,2.276224,0.09440559
2022-03-18 02:06:02.967,2.363636,0.1083916
2022-03-18 02:11:03.087,2.503496,0.1153846
2022-03-18 02:16:02.960,2.377622,0.1118881
2022-03-18 02:21:02.977,2.374126,0.3181818
2022-03-18 02:26:03.067,2.346154,0.3916084
2022-03-18 02:31:03.000,2.115385,0.3006993
2022-03-18 02:36:02.870,2.146853,0.2517483
2022-03-18 02:41:02.860,2.213287,0.1363636
2022-03-18 02:46:03.010,1.755245,0.05244755
2022-03-18 02:51:03.003,1.807692,0.07342657
2022-03-18 02:56:02.883,2.108392,0.1048951
2022-03-18 03:01:02.913,1.972028,0.0979021
2022-03-18 03:06:02.970,1.629371,0.05244755
2022-03-18 03:11:02.877,1.699301,0.05944056
2022-03-18 03:16:02.947,1.646853,0.1678322
2022-03-18 03:21:02.937,1.503497,0.05944056
2022-03-18 03:26:03.003,1.636364,0.09440559
2022-03-18 03:31:02.917,1.839161,0.0979021
2022-03-18 03:36:02.893,1.783217,0.09090909
2022-03-18 03:41:03.000,1.891608,0.1433566
2022-03-18 03:46:02.930,1.524476,0.1468531
2022-03-18 03:51:02.967,1.625874,0.1608392
2022-03-18 03:56:03.053,1.479021,0.05244755
2022-03-18 04:01:02.897,1.667832,0.1573427
2022-03-18 04:06:02.920,1.681818,0.08041958
2022-03-18 04:11:02.847,1.674825,0.2097902
2022-03-18 04:16:02.947,1.72028,0.1013986
2022-03-18 04:21:02.937,1.594406,0.1048951
2022-03-18 04:26:02.970,1.828671,0.3006993
2022-03-18 04:31:02.910,1.811189,0.1118881
2022-03-18 04:36:02.930,1.940559,0.1538462
2022-03-18 04:41:02.903,2.104895,0.2132867
2022-03-18 04:46:02.887,2.038461,0.1853147
2022-03-18 04:51:02.860,2.461539,0.2377622
2022-03-18 04:56:02.840,2.297203,0.1818182
2022-03-18 05:01:02.993,2.230769,0.1153846
2022-03-18 05:06:02.827,2.335664,0.2062937
2022-03-18 05:11:02.870,2.625874,0.1643357
2022-03-18 05:16:02.990,3.136364,0.2412587
2022-03-18 05:21:02.933,2.996504,0.2342657
2022-03-18 05:26:02.943,3.541958,0.2307692
2022-03-18 05:31:02.870,3.646853,0.4965035
2022-03-18 05:36:02.890,4.342658,0.3741259
2022-03-18 05:41:02.890,4.548951,0.5244755
2022-03-18 05:46:02.930,5.444056,0.5384616
2022-03-18 05:51:02.920,5.531468,0.6013986
2022-03-18 05:56:02.953,5.664336,0.6713287
2022-03-18 06:01:02.900,5.972028,0.6993007
2022-03-18 06:06:02.950,6.115789,0.7438596
2022-03-18 06:11:02.877,6.839161,0.7937063
2022-03-18 06:16:03.007,8.431579,1.231579
2022-03-18 06:21:02.867,9.457447,1.478723
2022-03-18 06:26:03.040,10.3662,1.700704
2022-03-18 06:31:02.827,11.61539,1.996503
2022-03-18 06:36:02.927,14.37762,2.325175
2022-03-18 06:41:02.930,16.5,2.706294
2022-03-18 06:46:02.973,18.31469,2.937063
2022-03-18 06:51:02.883,18.86667,3.073684
2022-03-18 06:56:02.900,19.44056,3.265734
2022-03-18 07:01:02.917,20.04982,3.185053
2022-03-18 07:06:03.060,21.45324,3.514389
2022-03-18 07:11:02.937,23.7518,4.377698
2022-03-18 07:16:02.947,26.95,5.035714
2022-03-18 07:21:02.793,29.01786,5.514286
2022-03-18 07:26:03.107,31.42857,6.6
2022-03-18 07:31:02.850,33.8,8.178572
2022-03-18 07:36:03.020,36.75958,9.693379
2022-03-18 07:41:02.933,38.61324,10.21254
2022-03-18 07:46:02.860,41.09689,11.61246
2022-03-18 07:51:02.870,41.71724,11.85517
2022-03-18 07:56:03.010,42.14089,12.31271
2022-03-18 08:01:02.960,42.42612,12.24399
2022-03-18 08:06:02.890,39.79038,11.55326
2022-03-18 08:11:02.930,39.92096,11.02062
2022-03-18 08:16:02.900,38.68729,10.01031
2022-03-18 08:21:02.910,38.01031,9.756014
2022-03-18 08:26:02.983,37.82069,10.17241
2022-03-18 08:31:02.900,36.65517,9.962069
2022-03-18 08:36:02.983,36.99655,10.73793
2022-03-18 08:41:02.900,36.73103,10.76552
2022-03-18 08:46:02.950,36.84483,10.83793
2022-03-18 08:51:02.887,36.77055,10.43493
2022-03-18 08:56:03.020,34.7363,9.568493
2022-03-18 09:01:02.927,34.10274,9.640411
2022-03-18 09:06:02.987,33.38699,9.523973
2022-03-18 09:11:02.907,33.46341,8.571428
